,"('Salads', 'Hot Drinks')","('Chiken Snacks', 'Cold Drinks')","('Chiken Snacks', 'Hot Drinks')"
0,2.6251396513724705,2.4214306921149023,2.4086096757412863
1,2.535281943862589,2.3628108952802944,2.3706310589688178
2,2.470696716589862,2.31178550089784,2.34016469606343
3,2.8220001265902908,2.4776776556776547,2.4829331778889903
4,2.2051138554216867,2.7701421240408584,1.66695759608378
5,2.032768525592055,2.768559845559845,1.60956837944664
6,1.745917366946779,2.7662592320629127,1.498954682494818
7,1.6999138554216868,2.769346009081858,1.509240313366497
8,1.5516256684491978,2.4234206154206155,1.4406404797601198
9,1.3538095238095242,2.3598670047900816,1.3400078369905957
10,1.6999138554216868,2.3075427908588297,1.509240313366497
11,1.5516256684491978,2.4790014329806,1.4406404797601198
12,1.3538095238095242,2.714599761526232,1.3400078369905957
13,1.7209638554216866,2.6913978898684783,1.5179883653145492
14,1.5661429098285082,2.669398354876616,1.4474721227621483
15,1.3595816326530612,2.739184630413546,1.3441948098115892
16,1.9189133986928104,2.4256652843319513,1.591081764115298
17,1.7426983100932683,2.3596516816516813,1.519389287001658
18,1.4572748508386806,2.307472329472329,1.2200802222100395
19,2.6604678525582246,2.4797682453416154,1.8036287813310288
20,2.4809195402298845,2.395851597494849,1.7491302768269978
21,2.2148476190476187,1.745246139225469,1.6610698924731182
22,2.1453619702052835,2.5221605477584657,1.6417057044079515
23,2.0239834181270018,2.3982297760924514,1.5851043028010243
24,1.8391607305936069,2.3351158035863917,1.5062505376344084
25,2.1552678525582247,2.253035593855377,1.6459114986137455
26,2.0239834181270018,2.7701421240408584,1.5851043028010243
27,1.8391607305936069,2.7701421240408584,1.5062505376344084
28,2.162639473037154,2.769346009081858,1.6496002646280503
29,2.035408320493066,2.770948380591693,1.5911858131757015
30,1.853990476190476,2.3901609249646056,1.514062908768429
31,2.371328812226645,2.3044979704915916,1.7271252423761676
32,2.2198333333333333,2.186423350041771,1.6699508228090316
33,1.9362351851851851,2.3972965181849446,1.3843230866540164
34,1.4884279908811575,2.3157546549835706,1.242593965799142
35,1.3193543599257886,2.2028431952662717,1.1575281431449225
36,1.1845339656729899,2.404678166343916,1.0856573349523295
37,1.7056435297282757,2.3157546549835706,1.3246424065475828
38,1.5964972170686456,2.2014590643274854,1.2714330825671032
39,1.4593826744429157,2.411570652710576,1.202378465570516
40,1.570108860158132,2.326993433587371,1.4546580922286956
41,1.4066373626373627,2.208875223613596,1.376024103332949
42,1.2591070175438597,2.513935168510419,1.296355813684697
43,1.8010612411105131,2.44299818736272,1.5454065329771365
44,1.6703641456582634,2.3373123447590656,1.4805509321638357
45,1.5585454895981212,1.4954622725340956,1.421104401991499
46,1.4813333333333334,1.4326853739029102,1.4111686371100165
47,1.328082340195016,1.1102452732675825,1.3319256089532587
48,1.193075928825825,1.562616118687942,1.2586487973377811
49,1.7321904761904758,1.5063717093066369,1.509875319616699
50,1.629324576219861,1.1974603174603171,1.4587782680639825
51,1.5138423645320196,2.106614533292794,1.39468360298549
52,1.6283718580270303,1.4444141718886003,2.7581311666792194
53,1.5698695420208544,1.3258097062815104,2.7122038939519464
54,1.5252230377003515,2.17376837944664,2.6761181796662328
55,1.7170599976406749,1.5144774436090225,2.838751866368048
56,1.532796217031511,1.4083058660357346,1.8351856610128716
57,1.4642419354838707,1.383079361327655,1.7619642857142856
58,1.342069995222169,1.3065342336572676,1.6143466927337893
59,1.257512869167518,1.2409551141284607,1.6347094705366807
60,1.183575268817204,1.9803441466297145,1.5514642857142855
61,1.0936538461538459,1.904256015889032,1.421134132347316
62,1.257512869167518,1.8403890241066585,1.6347094705366807
63,1.183575268817204,1.3232600625047577,1.5514642857142855
64,1.0936538461538459,1.2726344699747298,1.421134132347316
65,1.2710935143288082,1.200007461901872,1.6453229159148322
66,1.1935990783410138,1.4140299180661438,1.5595604395604394
67,1.1000725900116144,1.2864422663917705,1.4259587685481123
68,1.3956697475374136,1.1898518159559273,1.7365777777777776
69,1.319355229450106,1.4037389079222826,1.6502570485440415
70,1.115830398415144,1.3386923558897244,1.3163304554161863
71,1.6120812004935714,1.2223334794402727,2.213059354226021
72,1.5348240117623615,1.7140299180661436,2.14919925455212
73,1.4316154022538208,1.6497760467823492,2.020739973262032
74,1.3303308787432495,1.3924497929606623,2.0075006687800117
75,1.2647538480470262,1.9145488323819408,1.94554090232234
76,1.1913450643314178,1.8326595569734745,1.8330801492151116
77,1.3367978526295785,1.7592972060069674,2.012583163749831
78,1.2647538480470262,1.8937917827717812,1.94554090232234
79,1.1913450643314178,1.814580583507736,1.8330801492151116
80,1.3429481775055545,1.7512214797913948,2.0170555737940368
81,1.273998586111262,1.2838941319393762,1.9527230259192283
82,1.2022173742309872,1.0061630750902273,1.8421339126559717
83,1.474426050058422,0.939456721829935,2.1136940673705378
84,1.4001470151470148,1.8316288416570448,2.048564935064935
85,1.2099238384984272,1.7592972060069674,1.7256844493116392
86,1.0858024060202802,2.7626940993788818,1.3444789145094822
87,1.006941011064246,2.692770442219441,1.2375716717739191
88,0.940107463071984,2.6338958584236583,1.1499550375469336
89,1.137335569285586,2.832124384236453,1.5368141841216398
90,1.078206317186695,3.236595070422536,1.4791131737502037
91,1.0138895420369105,3.234638888888889,1.3948075153518242
92,1.205120161156768,3.2318044217687074,1.5588275489785468
93,1.1280113360113355,3.2356101398601402,1.4568461487361744
94,1.0560159976742671,2.764993113292597,1.3621427835051547
95,1.2607961815649311,2.6888063036459564,1.758598716026602
96,1.1922235392321825,2.627979337304542,1.6896979966444072
97,1.1341525346342176,2.833894196106705,1.627773929342733
98,1.1631636500754146,3.18937012987013,1.4998625541125539
99,1.0880733931336342,3.1692368421052635,1.4027780697563306
100,1.0198509688856283,3.1495476190476186,1.3133224958120937
101,1.2256192809764237,3.209892156862745,1.7219018915866742
102,1.1683271162445,2.7677512267429973,1.6663650262780696
103,1.1070316822901407,2.6886924736337487,1.600155245375742
104,2.218448051948052,2.6282135627530367,2.4319922779922782
105,2.1209609164420478,2.8348389292196012,2.390881970578173
106,2.051776497695852,2.694426406926407,2.3581805896805896
107,2.3730991778006167,2.132664252626822,2.511009925281588
108,2.102205834278792,2.8889042575071984,1.7033099210870355
109,1.9458537225826384,2.7550446428571425,1.642311759504863
110,1.6874993469174502,2.6864453363137573,1.5260970064418342
111,1.5301949647135742,2.5962387084733107,1.5291510683567542
112,1.4098325024234868,3.236595070422536,1.4572568144499178
113,1.2589814897745932,3.236595070422536,1.3537047650625236
114,1.5301949647135742,3.2356101398601402,1.5291510683567542
115,1.4098325024234868,3.237593971631205,1.4572568144499178
116,1.2589814897745932,2.5853170188830252,1.3537047650625236
117,1.5530753994961828,2.4424905175184826,1.538633050338736
118,1.4253866896156056,2.2894371472929342,1.4645913092234366
119,1.2682887700534755,2.5944824760673497,1.358108711601646
120,1.7881439812767213,2.456527750083084,1.6186101267548043
121,1.6469894728431314,2.3090992926851106,1.5432172638955248
122,1.3520420332355816,2.604007362945178,1.2395570865648924
123,2.484607023411371,2.456527750083084,1.840057823129252
124,2.311584749938408,2.3074125965012606,1.7809799407703213
125,2.0811029565431194,2.6129939586645468,1.687509574078191
126,1.9018563579277863,2.4706670493920813,1.6613476190476189
127,1.804164787603192,2.3163327172689225,1.6015526377736509
128,1.6714230589758974,2.7510700854700856,1.5197863519918724
129,1.9125961538461536,2.623069673438996,1.6658989703989704
130,1.804164787603192,2.4783634202183866,1.6015526377736509
131,1.6714230589758974,1.6008025585731294,1.5197863519918724
132,1.9230165648412643,1.5193399159663863,1.6698705925265458
133,1.8184568956184173,1.1777956521739132,1.6080491089024531
134,1.687118999323867,1.7421790767917529,1.528097385113171
135,2.1697687728937725,1.681858597285068,1.7546536050156738
136,2.0344964440116278,1.3485089477891887,1.6933468406593406
137,1.7573631988559797,2.2143339967565967,1.4034099878062298
138,1.3023674571042991,1.5332538069311208,1.259319866880108
139,1.1739381207028263,1.393657894736842,1.1714420449349794
140,1.0720768817204305,2.3557105149752204,1.0972696702976077
141,1.4987924703062,1.6914560152491187,1.3413683076285483
142,1.4154796226791109,1.560872180451128,1.2853469843571603
143,1.3178569944418472,1.437909533639511,1.2138704361081725
144,1.4330447866721854,1.3487154334038054,1.4722041004003028
145,1.302705018558677,1.2742131044833662,1.3905422685554825
146,1.194318018018018,2.032447602762126,1.308475
147,1.6328159537202402,1.9445641245173677,1.5629525411487435
148,1.5361712819185644,1.8724547886570357,1.4949775733179989
149,1.4605318840579709,1.3633043013182398,1.4330807012697782
150,1.3581026272577996,1.3050158709341897,1.4272615384615384
151,1.239872415249058,1.2259193879406645,1.3453284016492844
