McD_light_b_0,McD_light_b_1,McD_light_b_2,McD_light_b_3
2.6602721088435373,2.6251396513724705,2.4214306921149023,2.4086096757412863
2.5279128085029727,2.535281943862589,2.3628108952802944,2.3706310589688178
2.4330183541201458,2.470696716589862,2.3117855008978396,2.34016469606343
2.8094987468671677,2.8220001265902908,2.477677655677655,2.4829331778889903
4.660009216589861,2.2051138554216867,2.770142124040858,1.6669575960837801
4.649928571428571,2.032768525592055,2.768559845559845,1.60956837944664
4.635936034115138,1.7459173669467787,2.7662592320629127,1.498954682494818
4.654888888888889,1.699913855421687,2.769346009081858,1.5092403133664973
2.638730452402978,1.5516256684491978,2.423420615420615,1.4406404797601198
2.4863535551206786,1.353809523809524,2.3598670047900816,1.3400078369905957
2.375887608326633,1.699913855421687,2.3075427908588297,1.5092403133664973
2.797161577161577,1.5516256684491978,2.4790014329805996,1.4406404797601198
4.502244296244296,1.353809523809524,2.7145997615262316,1.3400078369905957
4.442428571428572,1.7209638554216866,2.691397889868478,1.5179883653145492
4.38623976023976,1.5661429098285082,2.6693983548766154,1.4474721227621483
4.565142857142857,1.3595816326530612,2.739184630413546,1.344194809811589
2.651905682969513,1.9189133986928102,2.425665284331951,1.5910817641152981
2.4959711438923398,1.742698310093268,2.3596516816516813,1.519389287001658
2.3899206349206352,1.4572748508386806,2.307472329472329,1.2200802222100395
2.801823581823582,2.6604678525582246,2.479768245341615,1.8036287813310286
2.703166338305657,2.480919540229885,2.395851597494849,1.7491302768269978
2.416768174354381,2.2148476190476187,1.745246139225469,1.6610698924731182
2.9437275985663085,2.1453619702052835,2.5221605477584657,1.6417057044079517
2.613398268398268,2.0239834181270018,2.398229776092452,1.585104302801024
2.467539682539683,1.839160730593607,2.3351158035863913,1.5062505376344084
2.2976358854260495,2.1552678525582247,2.2530355938553766,1.6459114986137457
4.660009216589861,2.0239834181270018,2.770142124040858,1.585104302801024
4.660009216589861,1.839160730593607,2.770142124040858,1.5062505376344084
4.654888888888889,2.162639473037154,2.769346009081858,1.6496002646280505
4.665297423887588,2.035408320493066,2.7709483805916926,1.5911858131757017
2.4920489646628514,1.8539904761904762,2.3901609249646056,1.514062908768429
2.239526132404181,2.371328812226645,2.304497970491592,1.7271252423761676
1.9481200159489636,2.219833333333333,2.186423350041771,1.6699508228090316
2.515969419208306,1.936235185185185,2.397296518184945,1.3843230866540164
2.271120879120879,1.4884279908811577,2.3157546549835706,1.242593965799142
1.9888718308700863,1.3193543599257886,2.202843195266272,1.1575281431449223
2.5414331288857257,1.18453396567299,2.404678166343916,1.0856573349523297
2.271120879120879,1.7056435297282757,2.3157546549835706,1.3246424065475828
1.981565894797027,1.5964972170686456,2.2014590643274854,1.2714330825671032
2.5642046035805626,1.4593826744429155,2.4115706527105756,1.2023784655705159
2.3021071292620587,1.5701088601581321,2.326993433587371,1.4546580922286956
1.9967474669293555,1.4066373626373627,2.2088752236135956,1.376024103332949
3.0315332434719915,1.2591070175438595,2.513935168510419,1.296355813684697
2.7423063603063604,1.801061241110513,2.4429981873627193,1.5454065329771363
2.370323369159576,1.6703641456582634,2.3373123447590656,1.4805509321638355
1.6609803921568627,1.5585454895981212,1.4954622725340956,1.4211044019914987
1.5242222222222224,1.4813333333333334,1.4326853739029102,1.4111686371100163
1.2280576923076922,1.3280823401950161,1.1102452732675825,1.3319256089532587
1.8226470588235295,1.193075928825825,1.562616118687942,1.258648797337781
1.7029590643274855,1.732190476190476,1.5063717093066369,1.509875319616699
1.4188083735909824,1.629324576219861,1.1974603174603173,1.4587782680639823
1.7839148841354724,1.5138423645320196,2.106614533292794,1.3946836029854899
1.5448373860182372,1.6283718580270303,1.4444141718886003,2.7581311666792194
1.3089343873517787,1.5698695420208544,1.3258097062815104,2.712203893951947
1.9455815508021392,1.5252230377003517,2.17376837944664,2.6761181796662328
1.715660694288914,1.7170599976406749,1.5144774436090225,2.8387518663680478
1.4932670112496198,1.532796217031511,1.4083058660357346,1.8351856610128714
1.4311441176470587,1.4642419354838707,1.383079361327655,1.7619642857142856
1.2887476261869066,1.342069995222169,1.3065342336572676,1.6143466927337893
1.1753341579055863,1.2575128691675181,1.2409551141284607,1.6347094705366807
1.526741622844564,1.183575268817204,1.9803441466297145,1.5514642857142857
1.3852115290669273,1.093653846153846,1.9042560158890318,1.4211341323473161
1.2745599900337494,1.2575128691675181,1.8403890241066585,1.6347094705366807
1.3246648112332342,1.183575268817204,1.3232600625047577,1.5514642857142857
1.2338539506124526,1.093653846153846,1.2726344699747298,1.4211341323473161
1.110489653886783,1.2710935143288082,1.200007461901872,1.6453229159148322
2.165663101604278,1.1935990783410138,1.4140299180661438,1.5595604395604394
1.9704761904761905,1.1000725900116144,1.2864422663917705,1.4259587685481125
1.8368312889972884,1.3956697475374136,1.1898518159559273,1.7365777777777776
2.139872180451128,1.319355229450106,1.4037389079222826,1.6502570485440415
1.9782868275515333,1.1158303984151439,1.3386923558897244,1.3163304554161865
1.8356578947368418,1.6120812004935714,1.2223334794402727,2.213059354226021
2.265663101604278,1.5348240117623617,1.7140299180661436,2.14919925455212
2.108129720351092,1.4316154022538208,1.6497760467823492,2.020739973262032
1.9338616938616937,1.3303308787432497,1.3924497929606625,2.007500668780012
1.4060617588932807,1.2647538480470262,1.9145488323819406,1.9455409023223396
1.2630715831483095,1.1913450643314178,1.8326595569734743,1.8330801492151114
1.140111658456486,1.3367978526295785,1.7592972060069674,2.012583163749831
1.3716062111801244,1.2647538480470262,1.8937917827717814,1.9455409023223396
1.2328436643474592,1.1913450643314178,1.8145805835077358,1.8330801492151114
1.128046697388633,1.3429481775055545,1.7512214797913948,2.017055573794037
1.2368991019184734,1.273998586111262,1.2838941319393762,1.9527230259192283
1.043431899641577,1.2022173742309872,1.0061630750902273,1.8421339126559715
0.9347721631699037,1.4744260500584219,0.939456721829935,2.1136940673705378
1.2591500145208585,1.400147015147015,1.8316288416570448,2.048564935064935
1.140111658456486,1.2099238384984272,1.7592972060069674,1.7256844493116392
1.6163202875660363,1.0858024060202802,2.7626940993788818,1.3444789145094822
1.5296017416109902,1.006941011064246,2.692770442219441,1.2375716717739191
1.4593048955998582,0.9401074630719839,2.6338958584236583,1.1499550375469336
1.7074219269102986,1.137335569285586,2.832124384236453,1.5368141841216398
2.349067204060307,1.078206317186695,3.2365950704225357,1.4791131737502035
2.3477610389610386,1.0138895420369103,3.234638888888889,1.3948075153518242
2.345856518900094,1.2051201611567681,3.2318044217687074,1.558827548978547
2.348410389610389,1.1280113360113357,3.23561013986014,1.4568461487361744
1.6245756879322566,1.0560159976742673,2.764993113292597,1.3621427835051547
1.530850965250965,1.2607961815649313,2.6888063036459564,1.7585987160266021
1.4599294192929129,1.1922235392321823,2.627979337304542,1.6896979966444072
1.7138126117862875,1.1341525346342176,2.833894196106705,1.6277739293427327
2.326184890378438,1.1631636500754146,3.18937012987013,1.499862554112554
2.315919913419913,1.0880733931336342,3.169236842105263,1.4027780697563306
2.305324675324675,1.0198509688856285,3.149547619047619,1.3133224958120937
2.3359840159840157,1.2256192809764237,3.2098921568627454,1.7219018915866742
1.6264380009249937,1.1683271162445001,2.7677512267429973,1.6663650262780696
1.5288085157645495,1.1070316822901407,2.6886924736337487,1.600155245375742
1.45776350931677,2.2184480519480516,2.6282135627530367,2.431992277992278
1.7144474115069754,2.120960916442048,2.834838929219601,2.390881970578173
1.8503054117600855,2.051776497695852,2.694426406926407,2.3581805896805896
1.4925081148037103,2.3730991778006167,2.132664252626822,2.511009925281588
1.7876704318936878,2.102205834278792,2.888904257507199,1.7033099210870355
1.637826688815061,1.9458537225826382,2.7550446428571425,1.642311759504863
1.562577771066143,1.6874993469174502,2.6864453363137573,1.5260970064418342
1.4630946211452491,1.5301949647135742,2.5962387084733107,1.5291510683567542
2.349067204060307,1.409832502423487,3.2365950704225357,1.4572568144499178
2.349067204060307,1.2589814897745932,3.2365950704225357,1.3537047650625236
2.348410389610389,1.5301949647135742,3.23561013986014,1.5291510683567542
2.34973161174086,1.409832502423487,3.237593971631205,1.4572568144499178
1.70206970179563,1.2589814897745932,2.585317018883025,1.3537047650625236
1.5951202571013892,1.5530753994961828,2.4424905175184826,1.538633050338736
1.4603721615128264,1.4253866896156056,2.2894371472929342,1.464591309223437
1.714827277553206,1.2682887700534757,2.5944824760673497,1.3581087116016461
1.6138106011635425,1.7881439812767213,2.456527750083084,1.6186101267548043
1.4840568260568259,1.6469894728431314,2.3090992926851106,1.5432172638955248
1.728178228927413,1.3520420332355816,2.604007362945178,1.2395570865648924
1.6138106011635425,2.484607023411371,2.456527750083084,1.8400578231292517
1.482900589606472,2.311584749938408,2.3074125965012606,1.7809799407703213
1.7415442074265601,2.081102956543119,2.6129939586645468,1.687509574078191
1.633426195194345,1.9018563579277863,2.4706670493920813,1.6613476190476189
1.4946686930091186,1.8041647876031917,2.3163327172689225,1.601552637773651
1.9519513426724053,1.6714230589758974,2.7510700854700856,1.5197863519918724
1.856830707991699,1.9125961538461538,2.6230696734389958,1.6658989703989704
1.7193358458961474,1.8041647876031917,2.478363420218387,1.601552637773651
1.242532041773793,1.6714230589758974,1.6008025585731294,1.5197863519918724
1.1745491166763735,1.923016564841264,1.5193399159663863,1.669870592526546
0.958301261127348,1.8184568956184173,1.1777956521739132,1.6080491089024533
1.2845031956199469,1.6871189993238673,1.7421790767917529,1.528097385113171
1.2228322453124434,2.1697687728937725,1.6818585972850681,1.7546536050156738
1.0136072052201084,2.0344964440116273,1.3485089477891887,1.6933468406593406
1.461056818181818,1.7573631988559797,2.214333996756597,1.4034099878062298
1.193263849229012,1.3023674571042991,1.5332538069311208,1.259319866880108
1.0751006360262259,1.1739381207028265,1.3936578947368419,1.1714420449349794
1.503027972027972,1.0720768817204303,2.355710514975221,1.0972696702976075
1.2361633461515267,1.4987924703062,1.6914560152491187,1.3413683076285485
1.1298366270780063,1.4154796226791109,1.5608721804511279,1.2853469843571603
1.10422343945657,1.3178569944418472,1.437909533639511,1.2138704361081725
1.0345645234838121,1.4330447866721854,1.3487154334038054,1.4722041004003028
0.9745678824721378,1.302705018558677,1.2742131044833662,1.3905422685554825
1.303868772872152,1.194318018018018,2.032447602762126,1.308475
1.2339403646246976,1.6328159537202402,1.9445641245173675,1.5629525411487435
1.1755558918482647,1.5361712819185644,1.872454788657036,1.494977573317999
1.048712160058176,1.4605318840579709,1.36330430131824,1.4330807012697782
0.9989382376938725,1.3581026272577996,1.3050158709341895,1.4272615384615384
0.9372685926757425,1.2398724152490581,1.2259193879406645,1.3453284016492844
1.1659754521963825,1.1362800390837147,1.7255910174880764,1.2697574784051469
1.0615784215784214,1.5838637998074134,1.5693020594965676,1.5259682209682208
0.974181143983124,1.5034593717707971,1.4701287401810876,1.472181060760008
1.173103312259025,1.4259785205146984,1.7208280058434855,1.405675202655401
1.1089911067193676,3.315119047619048,1.6262910685805423,2.787026355996944
1.0080534332688587,3.2526630036630038,1.506327838827839,2.7369073083778965
1.3259754521963825,3.20539897039897,2.0255910174880762,2.697925826896415
1.2658086129406771,3.545941432166552,1.9332141142738102,2.8741995335029684
1.1058411067193676,2.0496124588200058,1.6731345029239766,1.8833004668534081
1.23859477124183,1.8894311336149705,1.9804145020512998,1.8045822784810128
1.1665102039685795,1.6117158067158066,1.8823932853717025,1.6487085966775503
1.1038455101408737,1.74889817310572,1.798528923006153,1.6588868207979708
1.221953308350367,1.58555143436685,1.9557076411960133,1.5713008931996275
