McD_solid_d_0,McD_solid_d_1,McD_solid_d_2,McD_solid_d_3,McD_solid_d_4,McD_solid_d_5,McD_solid_d_6,McD_solid_d_7
2.2969395188145185,2.279323901648754,1.126250550615064,1.1206485701993651,2.2969395188145185,2.279323901648754,1.126250550615064,1.1206485701993651
2.220736826168753,2.2346140446444864,1.1089153004983119,1.1110894256233894,2.220736826168753,2.2346140446444864,1.1089153004983119,1.1110894256233894
2.1484657181816016,2.192571425812743,1.0899894075918697,1.101300930389061,2.1484657181816016,2.192571425812743,1.0899894075918697,1.101300930389061
2.3646390083346605,2.3615915120928173,1.1393211101647218,1.1384791577143125,2.3646390083346605,2.3615915120928173,1.1393211101647218,1.1384791577143125
2.661398189486823,1.6364069710954576,1.1793886661358175,0.9021072656030596,2.661398189486823,1.6364069710954576,1.1793886661358175,0.9021072656030596
2.660079624085979,1.5719965393034696,1.1785120268202975,0.884843566811369,2.660079624085979,1.5719965393034696,1.1785120268202975,0.884843566811369
2.6581624461718687,1.4562395454049677,1.1772301070172004,0.8515230693461467,2.6581624461718687,1.4562395454049677,1.1772301070172004,0.8515230693461467
2.6607347603543228,1.4762001809720011,1.1789480986849408,0.8716332015307297,2.6607347603543228,1.4762001809720011,1.1789480986849408,0.8716332015307297
2.2978588078588076,1.3985314849887887,1.1238035431761981,0.848656138763451,2.2978588078588076,1.3985314849887887,1.1238035431761981,0.848656138763451
2.222658164520505,1.2931292427009136,1.1060969020095657,0.8133348018837269,2.222658164520505,1.2931292427009136,1.1060969020095657,0.8133348018837269
2.148116245501354,1.4762001809720011,1.0858700613321923,0.8716332015307297,2.148116245501354,1.4762001809720011,1.0858700613321923,0.8716332015307297
2.3651684196945633,1.4015772235803972,1.1375077971693435,0.8494820672209583,2.3651684196945633,1.4015772235803972,1.1375077971693435,0.8494820672209583
2.615112887391301,1.2931292427009136,1.163273050971058,0.8133348018837269,2.615112887391301,1.2931292427009136,1.163273050971058,0.8133348018837269
2.5957779943431727,1.4865516916882333,1.1559832543050022,0.8739769510780083,2.5957779943431727,1.4865516916882333,1.1559832543050022,0.8739769510780083
2.5774450485166205,1.4067753961943001,1.1484470585064812,0.8507530873580232,2.5774450485166205,1.4067753961943001,1.1484470585064812,0.8507530873580232
2.6356002781307297,1.2986646480090138,1.1702322957859694,0.8145419977355122,2.6356002781307297,1.2986646480090138,1.1702322957859694,0.8145419977355122
2.2997293652849207,1.5613028248707137,1.1250598877161249,0.8873429975577962,2.2997293652849207,1.5613028248707137,1.1250598877161249,0.8873429975577962
2.217897928687402,1.4837049886665172,1.1060770141092215,0.8643155012593419,2.217897928687402,1.4837049886665172,1.1060770141092215,0.8643155012593419
2.144643903207751,1.21382468603749,1.0863060860662037,0.7499571180453533,2.144643903207751,1.21382468603749,1.0863060860662037,0.7499571180453533
2.3658074299954097,1.7927904679590074,1.1379350818605876,0.9316713524514735,2.3658074299954097,1.7927904679590074,1.1379350818605876,0.9316713524514735
2.282802291179754,1.7315181123779226,1.0990436529489436,0.9165580023997472,2.282802291179754,1.7315181123779226,1.0990436529489436,0.9165580023997472
1.731413771519506,1.6398386514918772,0.9223019295252531,0.8917974133109778,1.731413771519506,1.6398386514918772,0.9223019295252531,0.8917974133109778
2.411718884348221,1.6161848704692634,1.1464151059084655,0.8992398507760152,2.411718884348221,1.6161848704692634,1.1464151059084655,0.8992398507760152
