,"('Chiken Snacks', 'Sweets/Snacks', 'Cold Drinks')","('Chiken Snacks', 'Sweets/Snacks', 'Hot Drinks')","('Snacks', 'Sweets/Desserts', 'Hot Drinks')","('Snacks', 'Sweets/Snacks', 'Cold Drinks')","('Snacks', 'Sweets/Snacks', 'Hot Drinks')"
0,1.126250550615064,1.1206485701993651,2.279323901648754,1.126250550615064,1.1206485701993651
1,1.108915300498312,1.1110894256233894,2.2346140446444864,1.108915300498312,1.1110894256233894
2,1.0899894075918697,1.101300930389061,2.1925714258127433,1.0899894075918697,1.101300930389061
3,1.1393211101647218,1.1384791577143123,2.3615915120928173,1.1393211101647218,1.1384791577143123
4,1.1793886661358175,0.9021072656030596,1.6364069710954576,1.1793886661358175,0.9021072656030596
5,1.1785120268202975,0.8848435668113691,1.5719965393034696,1.1785120268202975,0.8848435668113691
6,1.1772301070172004,0.8515230693461467,1.4562395454049677,1.1772301070172004,0.8515230693461467
7,1.1789480986849408,0.8716332015307297,1.4762001809720011,1.1789480986849408,0.8716332015307297
8,1.123803543176198,0.848656138763451,1.3985314849887889,1.123803543176198,0.848656138763451
9,1.1060969020095657,0.8133348018837269,1.2931292427009136,1.1060969020095657,0.8133348018837269
10,1.0858700613321923,0.8716332015307297,1.4762001809720011,1.0858700613321923,0.8716332015307297
11,1.1375077971693437,0.8494820672209583,1.4015772235803972,1.1375077971693437,0.8494820672209583
12,1.1632730509710578,0.8133348018837269,1.2931292427009136,1.1632730509710578,0.8133348018837269
13,1.1559832543050022,0.8739769510780083,1.486551691688233,1.1559832543050022,0.8739769510780083
14,1.1484470585064812,0.8507530873580232,1.4067753961943,1.1484470585064812,0.8507530873580232
15,1.1702322957859694,0.8145419977355122,1.2986646480090138,1.1702322957859694,0.8145419977355122
16,1.1250598877161249,0.8873429975577962,1.5613028248707137,1.1250598877161249,0.8873429975577962
17,1.1060770141092215,0.8643155012593419,1.4837049886665172,1.1060770141092215,0.8643155012593419
18,1.0863060860662035,0.7499571180453533,1.21382468603749,1.0863060860662035,0.7499571180453533
19,1.1379350818605876,0.9316713524514736,1.7927904679590074,1.1379350818605876,0.9316713524514736
20,1.0990436529489436,0.9165580023997472,1.7315181123779226,1.0990436529489436,0.9165580023997472
21,0.9223019295252533,0.8917974133109778,1.6398386514918772,0.9223019295252533,0.8917974133109778
22,1.1464151059084655,0.8992398507760152,1.6161848704692634,1.1464151059084655,0.8992398507760152
23,1.1176780211506812,0.8799445323642096,1.5501894761933317,1.1176780211506812,0.8799445323642096
24,1.1012450441074435,0.8525059859318471,1.4651577402978082,1.1012450441074435,0.8525059859318471
25,1.0747963050897689,0.899939139859797,1.6193540966059692,1.0747963050897689,0.899939139859797
26,1.1793886661358175,0.8799445323642096,1.5501894761933317,1.1793886661358175,0.8799445323642096
27,1.1793886661358175,0.8525059859318471,1.4651577402978082,1.1793886661358175,0.8525059859318471
28,1.1789480986849408,0.9013169365556664,1.6268732488510755,1.1789480986849408,0.9013169365556664
29,1.1798337990525063,0.8818064690978682,1.5588071036664386,1.1798337990525063,0.8818064690978682
30,1.1164813652250052,0.8550400234978593,1.4744986687476922,1.1164813652250052,0.8550400234978593
31,1.0968781859287915,0.91600257211516,1.710964514875805,1.0968781859287915,0.91600257211516
