McD/SB,Category,Kind,Item,Energy(kcal),Fat(g),Carbohydrates(g),Fiber(g),Protein(g),Sodium(g)
SB,food,Yogurt & Custard,Fresh Blueberries and Honey Greek Yogurt Parfait,240,2.5,42,2.0,14,0.1
SB,food,Yogurt & Custard,Justin's Chocolate Hazelnut Butter,180,14.0,12,3.0,4,0.065
SB,food,Yogurt & Custard,Justin's Classic Almond Butter,190,18.0,6,3.0,7,0.0
SB,food,Yogurt & Custard,Lemon Chiffon Yogurt,340,13.0,38,0.0,18,0.09
SB,food,Yogurt & Custard,Mango & Coconut Yogurt Bowl,250,6.0,34,3.0,16,0.06
SB,food,Biscotti & Cookies,Foodstirs Sprinkle Mug Cake Mix,280,7.0,55,1.0,4,0.18
SB,food,Biscotti & Cookies,Dipped Madeleines,290,15.0,36,1.0,3,0.0
SB,food,Biscotti & Cookies,Madeleines,220,11.0,28,0.0,3,0.18
SB,food,Biscotti & Cookies,Vanilla Biscotti with Almonds,200,9.0,25,2.0,10,0.0
SB,food,Biscotti & Cookies,Shortbread Cookies,170,9.0,21,1.0,8,0.0
SB,food,Biscotti & Cookies,Dark Chocolate Grahams (2 Pack),140,8.0,18,2.0,2,0.03
SB,food,Biscotti & Cookies,Emmy's Coconut Vanilla Cookie,300,24.0,24,6.0,3,0.0
SB,food,Biscotti & Cookies,Rip Van Wafel - Snickerdoodle,130,6.0,19,8.0,1,0.065
SB,food,Biscotti & Cookies,Emmy's Dark Cocoa Cookie,300,24.0,24,6.0,3,0.015
SB,food,Biscotti & Cookies,Goodie Girl Mint Slims,150,9.0,18,2.0,2,0.12
SB,food,Biscotti & Cookies,Pumpkin Spice Madeleines,250,11.0,33,1.0,3,0.125
SB,food,Biscotti & Cookies,Rip Van Wafels - Honey & Oats,130,6.0,19,0.0,1,0.065
SB,food,Biscotti & Cookies,Goodie Girl Sandwich Cookies,170,6.0,28,1.0,1,0.15
SB,food,Chocolates & Candy,Wild Ophelia Birthday Cake Bar,310,19.0,33,0.0,3,0.04
SB,food,Chocolates & Candy,Prosecco Lollipop,70,0.0,18,0.0,0,0.0
SB,food,Chocolates & Candy,Strawberry Bear YoYos,60,0.0,13,2.0,0,0.0
SB,food,Chocolates & Candy,Salted Almond Chocolate Bites,300,22.0,24,4.0,7,0.2
SB,food,Chocolates & Candy,"Charles Chocolates - Caramelized Crisp Rice Bar, Bittersweet",180,14.0,18,3.0,2,0.0
SB,food,Chocolates & Candy,Bissinger's Gummy Pandas Blackberry Hibiscus,130,0.0,29,0.0,3,0.02
SB,food,Chocolates & Candy,Charles Chocolates √ Toffee Coffee Bar,200,14.0,19,2.0,2,0.02
SB,food,Chocolates & Candy,Bissinger's Gummy Pandas Raspberry Yumberry,130,0.0,29,0.0,3,0.02
