McD/SB,Category,Kind,Item,Energy(kcal),Fat(g),Carbohydrates(g),Fiber(g),Protein(g),Sodium(g)
McD,drink,Cold Drinks,Diet Coke (Large),0,0.0,0,0.0,0,0.035
McD,drink,Cold Drinks,Diet Coke (Child),0,0.0,0,0.0,0,0.015
McD,drink,Cold Drinks,Dr Pepper (Small),140,0.0,37,0.0,0,0.045
McD,drink,Cold Drinks,Dr Pepper (Medium),190,0.0,53,0.0,0,0.065
McD,drink,Cold Drinks,Dr Pepper (Large),270,0.0,72,0.0,0,0.09
McD,drink,Cold Drinks,Dr Pepper (Child),100,0.0,27,0.0,0,0.03
McD,drink,Cold Drinks,Diet Dr Pepper (Small),0,0.0,0,0.0,2,0.07
McD,drink,Cold Drinks,Diet Dr Pepper (Medium),0,0.0,0,0.0,3,0.1
McD,drink,Cold Drinks,Diet Dr Pepper (Large),0,0.0,0,0.0,4,0.14
McD,drink,Cold Drinks,Diet Dr Pepper (Child),0,0.0,0,0.0,1,0.05
McD,drink,Cold Drinks,Sprite (Small),140,0.0,37,0.0,0,0.03
McD,drink,Cold Drinks,Sprite (Medium),200,0.0,54,0.0,0,0.045
McD,drink,Cold Drinks,Sprite (Large),280,0.0,74,0.0,0,0.06
McD,drink,Cold Drinks,Sprite (Child),100,0.0,27,0.0,0,0.025
McD,drink,Cold Drinks,1% Low Fat Milk Jug,100,2.5,12,0.0,8,0.125
McD,drink,Cold Drinks,Fat Free Chocolate Milk Jug,130,0.0,23,1.0,9,0.135
McD,drink,Cold Drinks,Minute Maid 100% Apple Juice Box,80,0.0,21,0.0,0,0.015
McD,drink,Cold Drinks,Minute Maid Orange Juice (Small),150,0.0,34,0.0,2,0.0
McD,drink,Cold Drinks,Minute Maid Orange Juice (Medium),190,0.0,44,0.0,3,0.0
McD,drink,Cold Drinks,Minute Maid Orange Juice (Large),280,0.0,65,0.0,4,0.005
McD,drink,Cold Drinks,Iced Tea (Small),0,0.0,0,0.0,0,0.01
McD,drink,Cold Drinks,Iced Tea (Medium),0,0.0,0,0.0,0,0.01
McD,drink,Cold Drinks,Iced Tea (Large),0,0.0,0,0.0,0,0.015
McD,drink,Cold Drinks,Iced Tea (Child),0,0.0,0,0.0,0,0.005
McD,drink,Hot Drinks,Sweet Tea (Small),150,0.0,36,0.0,1,0.01
McD,drink,Hot Drinks,Sweet Tea (Medium),180,0.0,45,0.0,1,0.01
McD,drink,Hot Drinks,Sweet Tea (Large),220,0.0,54,0.0,1,0.01
McD,drink,Hot Drinks,Sweet Tea (Child),110,0.0,27,0.0,0,0.005
McD,drink,Hot Drinks,Latte (Small),170,9.0,15,1.0,9,0.115
McD,drink,Hot Drinks,Latte (Medium),210,10.0,18,1.0,11,0.14
McD,drink,Hot Drinks,Latte (Large),280,14.0,24,1.0,15,0.18
McD,drink,Hot Drinks,Caramel Latte (Small),270,9.0,40,1.0,9,0.115
McD,drink,Hot Drinks,Caramel Latte (Medium),340,10.0,50,1.0,11,0.14
McD,drink,Hot Drinks,Caramel Latte (Large),430,14.0,62,1.0,15,0.18
McD,drink,Hot Drinks,Hazelnut Latte (Small),270,9.0,40,1.0,9,0.115
McD,drink,Hot Drinks,Hazelnut Latte (Medium),330,10.0,50,1.0,11,0.14
McD,drink,Hot Drinks,Hazelnut Latte (Large),430,14.0,62,1.0,15,0.18
McD,drink,Hot Drinks,French Vanilla Latte (Small),260,9.0,38,1.0,9,0.115
McD,drink,Hot Drinks,French Vanilla Latte (Medium),330,10.0,48,1.0,11,0.14
McD,drink,Hot Drinks,French Vanilla Latte (Large),420,14.0,60,1.0,15,0.19
McD,drink,Hot Drinks,Latte with Sugar Free French Vanilla Syrup (Small),210,9.0,24,1.0,9,0.15
McD,drink,Hot Drinks,Latte with Sugar Free French Vanilla Syrup (Medium),260,10.0,29,1.0,12,0.19
McD,drink,Hot Drinks,Latte with Sugar Free French Vanilla Syrup (Large),330,14.0,37,2.0,15,0.24
McD,drink,Hot Drinks,Nonfat Latte (Small),100,0.0,15,1.0,10,0.11
McD,drink,Hot Drinks,Nonfat Latte (Medium),130,0.0,19,1.0,12,0.135
McD,drink,Hot Drinks,Nonfat Latte (Large),170,0.5,25,1.0,16,0.18
McD,drink,Hot Drinks,Nonfat Caramel Latte (Small),200,0.0,41,1.0,10,0.11
McD,drink,Hot Drinks,Nonfat Caramel Latte (Medium),250,0.0,51,1.0,12,0.135
McD,drink,Hot Drinks,Nonfat Caramel Latte (Large),310,0.5,63,1.0,16,0.18
McD,drink,Hot Drinks,Nonfat Hazelnut Latte (Small),200,0.0,40,1.0,10,0.11
McD,drink,Hot Drinks,Nonfat Hazelnut Latte (Medium),250,0.0,51,1.0,12,0.135
McD,drink,Hot Drinks,Nonfat Hazelnut Latte (Large),310,0.5,63,1.0,16,0.18
McD,drink,Hot Drinks,Nonfat French Vanilla Latte (Small),190,0.0,39,1.0,10,0.115
McD,drink,Hot Drinks,Nonfat French Vanilla Latte (Medium),240,0.0,49,1.0,12,0.14
McD,drink,Hot Drinks,Nonfat French Vanilla Latte (Large),300,0.5,60,1.0,16,0.18
McD,drink,Hot Drinks,Nonfat Latte with Sugar Free French Vanilla Syrup (Small),140,0.0,24,1.0,10,0.15
McD,drink,Hot Drinks,Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),170,0.0,30,1.0,12,0.18
McD,drink,Hot Drinks,Nonfat Latte with Sugar Free French Vanilla Syrup (Large),220,0.5,38,2.0,16,0.24
McD,drink,Hot Drinks,Mocha (Small),340,11.0,49,2.0,10,0.15
McD,drink,Hot Drinks,Mocha (Medium),410,14.0,60,2.0,13,0.19
McD,drink,Hot Drinks,Mocha (Large),500,17.0,72,2.0,16,0.24
McD,drink,Hot Drinks,Mocha with Nonfat Milk (Small),270,3.5,49,2.0,11,0.15
McD,drink,Hot Drinks,Mocha with Nonfat Milk (Medium),330,3.5,60,2.0,13,0.19
McD,drink,Hot Drinks,Mocha with Nonfat Milk (Large),390,4.0,73,2.0,17,0.24
McD,drink,Hot Drinks,Caramel Mocha (Small),320,11.0,45,1.0,10,0.17
McD,drink,Hot Drinks,Caramel Mocha (Medium),390,14.0,55,1.0,12,0.22
McD,drink,Hot Drinks,Caramel Mocha (Large),480,17.0,66,1.0,16,0.27
McD,drink,Hot Drinks,Nonfat Caramel Mocha (Small),250,3.5,45,1.0,10,0.17
McD,drink,Hot Drinks,Nonfat Caramel Mocha (Medium),310,3.5,56,1.0,13,0.21
McD,drink,Hot Drinks,Nonfat Caramel Mocha (Large),370,3.5,67,1.0,17,0.27
McD,drink,Hot Drinks,Hot Chocolate (Small),360,13.0,50,1.0,11,0.18
McD,drink,Hot Drinks,Hot Chocolate (Medium),440,16.0,61,1.0,14,0.22
McD,drink,Hot Drinks,Hot Chocolate (Large),540,20.0,73,1.0,17,0.28
McD,drink,Hot Drinks,Hot Chocolate with Nonfat Milk (Small),280,3.5,50,1.0,12,0.18
McD,drink,Hot Drinks,Hot Chocolate with Nonfat Milk (Medium),340,3.5,61,1.0,14,0.22
McD,drink,Hot Drinks,Hot Chocolate with Nonfat Milk (Large),400,3.5,74,1.0,19,0.28
McD,drink,Cold Drinks,Regular Iced Coffee (Small),140,4.5,23,0.0,1,0.035
McD,drink,Cold Drinks,Regular Iced Coffee (Medium),190,7.0,31,0.0,1,0.05
McD,drink,Cold Drinks,Regular Iced Coffee (Large),270,9.0,47,0.0,2,0.075
McD,drink,Cold Drinks,Caramel Iced Coffee (Small),130,4.5,22,0.0,1,0.035
McD,drink,Cold Drinks,Caramel Iced Coffee (Medium),180,7.0,29,0.0,1,0.05
McD,drink,Cold Drinks,Caramel Iced Coffee (Large),260,9.0,43,0.0,2,0.065
McD,drink,Cold Drinks,Hazelnut Iced Coffee (Small),130,4.5,21,0.0,1,0.035
McD,drink,Cold Drinks,Hazelnut Iced Coffee (Medium),180,7.0,29,0.0,1,0.05
McD,drink,Cold Drinks,Hazelnut Iced Coffee (Large),250,9.0,43,0.0,2,0.075
McD,drink,Cold Drinks,French Vanilla Iced Coffee (Small),120,4.5,20,0.0,1,0.04
McD,drink,Cold Drinks,French Vanilla Iced Coffee (Medium),170,7.0,27,0.0,1,0.055
McD,drink,Cold Drinks,French Vanilla Iced Coffee (Large),240,9.0,41,0.0,2,0.08
McD,drink,Cold Drinks,Iced Coffee with Sugar Free French Vanilla Syrup (Small),80,4.5,9,0.0,1,0.065
McD,drink,Cold Drinks,Iced Coffee with Sugar Free French Vanilla Syrup (Medium),120,7.0,12,0.0,1,0.09
McD,drink,Cold Drinks,Iced Coffee with Sugar Free French Vanilla Syrup (Large),160,9.0,18,0.0,2,0.135
McD,drink,Cold Drinks,Iced Mocha (Small),290,11.0,41,1.0,8,0.125
McD,drink,Cold Drinks,Iced Mocha (Medium),350,13.0,50,1.0,9,0.15
McD,drink,Cold Drinks,Iced Mocha (Large),480,16.0,70,2.0,14,0.22
McD,drink,Cold Drinks,Iced Mocha with Nonfat Milk (Small),240,5.0,41,1.0,8,0.125
McD,drink,Cold Drinks,Iced Mocha with Nonfat Milk (Medium),290,5.0,50,1.0,10,0.15
McD,drink,Cold Drinks,Iced Mocha with Nonfat Milk (Large),390,6.0,71,2.0,14,0.22
McD,drink,Cold Drinks,Iced Caramel Mocha (Small),280,11.0,38,0.0,8,0.14
McD,drink,Cold Drinks,Iced Caramel Mocha (Medium),340,13.0,46,1.0,9,0.17
McD,drink,Cold Drinks,Iced Caramel Mocha (Large),460,16.0,65,1.0,13,0.25
McD,drink,Cold Drinks,Iced Nonfat Caramel Mocha (Small),230,5.0,38,0.0,8,0.14
McD,drink,Cold Drinks,Iced Nonfat Caramel Mocha (Medium),270,5.0,47,1.0,10,0.17
McD,drink,Cold Drinks,Iced Nonfat Caramel Mocha (Large),370,6.0,65,1.0,14,0.25
McD,drink,Cold Drinks,Frappe Mocha (Small),450,18.0,65,1.0,7,0.125
McD,drink,Cold Drinks,Frappe Mocha (Medium),550,22.0,80,1.0,9,0.16
McD,drink,Cold Drinks,Frappe Mocha (Large),670,26.0,98,1.0,11,0.19
McD,drink,Cold Drinks,Frappe Caramel (Small),450,19.0,64,0.0,7,0.125
McD,drink,Cold Drinks,Frappe Caramel (Medium),550,23.0,79,0.0,9,0.16
McD,drink,Cold Drinks,Frappe Caramel (Large),670,27.0,96,0.0,11,0.19
McD,drink,Cold Drinks,Frappe Chocolate Chip (Small),530,23.0,76,1.0,8,0.135
McD,drink,Cold Drinks,Frappe Chocolate Chip (Medium),630,26.0,91,1.0,9,0.16
McD,drink,Cold Drinks,Frappe Chocolate Chip (Large),760,31.0,111,1.0,12,0.2
McD,drink,Cold Drinks,Blueberry Pomegranate Smoothie (Small),220,0.5,50,3.0,2,0.04
McD,drink,Cold Drinks,Blueberry Pomegranate Smoothie (Medium),260,1.0,62,4.0,3,0.05
McD,drink,Cold Drinks,Blueberry Pomegranate Smoothie (Large),340,1.0,79,5.0,4,0.065
McD,drink,Cold Drinks,Strawberry Banana Smoothie (Small),210,0.5,47,3.0,3,0.05
McD,drink,Cold Drinks,Strawberry Banana Smoothie (Medium),250,1.0,58,3.0,4,0.06
McD,drink,Cold Drinks,Strawberry Banana Smoothie (Large),330,1.0,74,4.0,5,0.08
McD,drink,Cold Drinks,Mango Pineapple Smoothie (Small),210,0.5,50,1.0,2,0.04
McD,drink,Cold Drinks,Mango Pineapple Smoothie (Medium),260,1.0,61,1.0,3,0.045
McD,drink,Cold Drinks,Mango Pineapple Smoothie (Large),340,1.0,78,2.0,4,0.06
McD,drink,Cold Drinks,Vanilla Shake (Small),530,15.0,86,0.0,11,0.16
McD,drink,Cold Drinks,Vanilla Shake (Medium),660,19.0,109,0.0,14,0.2
McD,drink,Cold Drinks,Vanilla Shake (Large),820,23.0,135,0.0,18,0.26
McD,drink,Cold Drinks,Strawberry Shake (Small),550,16.0,90,0.0,12,0.16
McD,drink,Cold Drinks,Strawberry Shake (Medium),690,20.0,114,0.0,15,0.21
McD,drink,Cold Drinks,Strawberry Shake (Large),850,24.0,140,0.0,18,0.26
McD,drink,Cold Drinks,Chocolate Shake (Small),560,16.0,91,1.0,12,0.24
McD,drink,Cold Drinks,Chocolate Shake (Medium),700,20.0,114,2.0,15,0.3
McD,drink,Cold Drinks,Chocolate Shake (Large),850,23.0,141,2.0,19,0.38
McD,drink,Cold Drinks,Shamrock Shake (Medium),660,19.0,109,0.0,14,0.21
McD,drink,Cold Drinks,Shamrock Shake (Large),820,23.0,135,0.0,18,0.26
