,McD=0_SB=1,Category,Kind,Item,Energy(kcal),Fat(g),Carbohydrates(g),Fiber(g),Protein(g),Sodium(g),b_Energy(kcal),b_Fat(g),b_Carbohydrates(g),b_Fiber(g),b_Protein(g),b_Sodium(g),d_Energy(kcal),d_Fat(g),d_Carbohydrates(g),d_Fiber(g),d_Protein(g),d_Sodium(g)
10,1,food,Bakery,Chocolate Cake Pop,160,8.0,23,1.0,2,0.08,0.2206896551724138,0.32989690721649484,0.21852731591448932,0.2,0.09195402298850575,0.1839080459770115,0.1576354679802956,0.23564064801178206,0.15609093993892095,0.14285714285714285,0.06568144499178982,0.14159292035398233
11,1,food,Bakery,Chocolate Chip Cookie,310,15.0,42,2.0,4,0.22,0.42758620689655175,0.6185567010309279,0.3990498812351544,0.4,0.1839080459770115,0.5057471264367817,0.3054187192118227,0.44182621502209135,0.2850356294536817,0.2857142857142857,0.13136288998357964,0.3893805309734514
12,1,food,Bakery,Chocolate Chip Cookie Dough Cake Pop,180,9.0,23,0.0,2,0.08,0.2482758620689655,0.3711340206185567,0.21852731591448932,0.0,0.09195402298850575,0.1839080459770115,0.17733990147783255,0.26509572901325484,0.15609093993892095,0.0,0.06568144499178982,0.14159292035398233
13,1,food,Bakery,Chocolate Croissant,330,18.0,38,1.0,6,0.28,0.45517241379310347,0.7422680412371134,0.36104513064133015,0.2,0.27586206896551724,0.6436781609195403,0.32512315270935965,0.5301914580265097,0.2578893790295216,0.14285714285714285,0.19704433497536947,0.49557522123893816
14,1,food,Bakery,Cinnamon Raisin Bagel,270,1.0,58,3.0,9,0.37,0.3724137931034483,0.041237113402061855,0.5510688836104513,0.6,0.41379310344827586,0.8505747126436781,0.2660098522167488,0.029455081001472757,0.39362063115032236,0.42857142857142855,0.2955665024630542,0.6548672566371682
15,1,food,Bakery,Classic Coffee Cake,390,16.0,57,1.0,5,0.27,0.5379310344827586,0.6597938144329897,0.5415676959619953,0.2,0.22988505747126436,0.6206896551724138,0.3842364532019705,0.4712812960235641,0.3868340685442823,0.14285714285714285,0.16420361247947454,0.47787610619469034
16,1,food,Bakery,Confetti Sugar Cookie,410,21.0,54,0.0,4,0.22,0.5655172413793104,0.865979381443299,0.5130641330166271,0.0,0.1839080459770115,0.5057471264367817,0.40394088669950745,0.6185567010309279,0.36647438072616223,0.0,0.13136288998357964,0.3893805309734514
17,1,food,Bakery,Double Chocolate Chunk Brownie,490,28.0,55,3.0,7,0.22,0.6758620689655173,1.1546391752577319,0.5225653206650831,0.6,0.3218390804597701,0.5057471264367817,0.48275862068965525,0.8247422680412372,0.3732609433322023,0.42857142857142855,0.22988505747126436,0.3893805309734514
18,1,food,Bakery,Everybody's Favorite - Bantam Bagel (2 Pack),100,3.5,14,0.0,3,0.28,0.13793103448275862,0.14432989690721648,0.1330166270783848,0.0,0.13793103448275862,0.6436781609195403,0.09852216748768473,0.10309278350515465,0.09501187648456057,0.0,0.09852216748768473,0.49557522123893816
19,1,food,Bakery,Everything Bagel with Cheese,290,3.5,53,2.0,11,0.45,0.4,0.14432989690721648,0.503562945368171,0.4,0.5057471264367817,1.0344827586206897,0.28571428571428575,0.10309278350515465,0.3596878181201222,0.2857142857142857,0.361247947454844,0.7964601769911506
20,1,food,Bakery,French Toast - Bantam Bagels (2 Pack),200,8.0,30,0.0,6,0.36,0.27586206896551724,0.32989690721649484,0.2850356294536817,0.0,0.27586206896551724,0.8275862068965517,0.19704433497536947,0.23564064801178206,0.20359687818120123,0.0,0.19704433497536947,0.6371681415929203
21,1,food,Bakery,Frosted Doughnut Cake Pop,390,23.0,45,1.0,4,0.14,0.5379310344827586,0.9484536082474226,0.42755344418052255,0.2,0.1839080459770115,0.32183908045977017,0.3842364532019705,0.6774668630338734,0.30539531727180186,0.14285714285714285,0.13136288998357964,0.24778761061946908
22,1,food,Bakery,Gluten-Free Marshmallow Dream Bar,240,5.0,45,0.0,2,0.22,0.3310344827586207,0.20618556701030927,0.42755344418052255,0.0,0.09195402298850575,0.5057471264367817,0.23645320197044337,0.1472754050073638,0.30539531727180186,0.0,0.06568144499178982,0.3893805309734514
23,1,food,Bakery,Iced Lemon Loaf Cake,470,20.0,68,1.0,6,0.31,0.6482758620689655,0.8247422680412371,0.6460807600950119,0.2,0.27586206896551724,0.7126436781609196,0.46305418719211827,0.5891016200294552,0.4614862572107228,0.14285714285714285,0.19704433497536947,0.5486725663716815
24,1,food,Bakery,Morning Bun,420,22.0,46,1.0,9,0.44,0.5793103448275863,0.9072164948453608,0.43705463182897863,0.2,0.41379310344827586,1.0114942528735633,0.4137931034482759,0.6480117820324006,0.3121818798778419,0.14285714285714285,0.2955665024630542,0.7787610619469028
25,1,food,Bakery,Old-Fashioned Glazed Doughnut,480,27.0,56,1.0,5,0.41,0.6620689655172414,1.1134020618556701,0.5320665083135392,0.2,0.22988505747126436,0.9425287356321839,0.47290640394088673,0.7952871870397644,0.38004750593824227,0.14285714285714285,0.16420361247947454,0.7256637168141593
26,1,food,Bakery,Petite Vanilla Bean Scone,120,4.5,18,0.0,2,0.095,0.16551724137931034,0.18556701030927836,0.171021377672209,0.0,0.09195402298850575,0.21839080459770116,0.11822660098522168,0.13254786450662742,0.12215812690872074,0.0,0.06568144499178982,0.168141592920354
