McD=0_SB=1;Category;Kind;Item;Energy(kcal);Fat(g);Carbohydrates(g);Fiber(g);Protein(g);Sodium(g)
1;food;Hot Breakfast;Sous Vide Egg Bites: Ham, Cheddar & Peppers;250;16;11;0;17;0.46
1;food;Hot Breakfast;Spicy Chorizo, Monterey Jack & Egg Breakfast Sandwich;470;24;36;0;24;0.95
1;food;Hot Breakfast;Spinach, Feta & Cage Free Egg White Breakfast Wrap;280;8;34;4;20;0.83
1;food;Warm Sandwiches;Baja Black Bean Veggie Wrap;570;22;73;7;21;1.3
1;food;Warm Sandwiches;Chicken & Double-Smoked Bacon;620;26;65;3;31;1.46
1;food;Warm Sandwiches;Chicken Caprese;500;18;58;3;28;0.9
1;food;Warm Sandwiches;Crispy Grilled Cheese Sandwich;540;29;47;4;21;1.06
1;food;Warm Sandwiches;Ham & Swiss Panini;490;24;42;0;25;1.25
1;food;Warm Sandwiches;Tomato & Mozzarella;350;13;42;3;15;0.58
1;food;Warm Sandwiches;Turkey Pesto Panini;560;23;55;3;34;1.19
1;food;Warm Sandwiches;Avocado Spread;90;8;5;4;1;0.21
1;food;Yogurt & Custard;Berry Trio Yogurt;240;2.5;39;3;14;0.125
1;food;Yogurt & Custard;Fresh Blueberries and Honey Greek Yogurt Parfait;240;2.5;42;2;14;0.1
1;food;Yogurt & Custard;Justin's Chocolate Hazelnut Butter;180;14;12;3;4;0.065
1;food;Yogurt & Custard;Justin's Classic Almond Butter;190;18;6;3;7;0
1;food;Yogurt & Custard;Lemon Chiffon Yogurt;340;13;38;0;18;0.09
1;food;Yogurt & Custard;Mango & Coconut Yogurt Bowl;250;6;34;3;16;0.06
1;food;Biscotti & Cookies;Foodstirs Sprinkle Mug Cake Mix;280;7;55;1;4;0.18
1;food;Biscotti & Cookies;Dipped Madeleines;290;15;36;1;3;0
1;food;Biscotti & Cookies;Madeleines;220;11;28;0;3;0.18
1;food;Biscotti & Cookies;Vanilla Biscotti with Almonds;200;9;25;2;10;0
1;food;Biscotti & Cookies;Shortbread Cookies;170;9;21;1;8;0
1;food;Biscotti & Cookies;Dark Chocolate Grahams (2 Pack);140;8;18;2;2;0.03
1;food;Biscotti & Cookies;Emmy's Coconut Vanilla Cookie;300;24;24;6;3;0
1;food;Biscotti & Cookies;Rip Van Wafel - Snickerdoodle;130;6;19;8;1;0.065
1;food;Biscotti & Cookies;Emmy's Dark Cocoa Cookie;300;24;24;6;3;0.015
1;food;Biscotti & Cookies;Goodie Girl Mint Slims;150;9;18;2;2;0.12
1;food;Biscotti & Cookies;Pumpkin Spice Madeleines;250;11;33;1;3;0.125
1;food;Biscotti & Cookies;Rip Van Wafels - Honey & Oats;130;6;19;0;1;0.065
1;food;Biscotti & Cookies;Goodie Girl Sandwich Cookies;170;6;28;1;1;0.15
1;food;Chocolates & Candy;Wild Ophelia Birthday Cake Bar;310;19;33;0;3;0.04
1;food;Chocolates & Candy;Prosecco Lollipop;70;0;18;0;0;0
1;food;Chocolates & Candy;Strawberry Bear YoYos;60;0;13;2;0;0
1;food;Chocolates & Candy;Salted Almond Chocolate Bites;300;22;24;4;7;0.2
1;food;Chocolates & Candy;Charles Chocolates - Caramelized Crisp Rice Bar, Bittersweet;180;14;18;3;2;0
1;food;Chocolates & Candy;Bissinger's Gummy Pandas Blackberry Hibiscus;130;0;29;0;3;0.02
1;food;Chocolates & Candy;Charles Chocolates – Toffee Coffee Bar;200;14;19;2;2;0.02
1;food;Chocolates & Candy;Bissinger's Gummy Pandas Raspberry Yumberry;130;0;29;0;3;0.02
1;food;Chocolates & Candy;Droga Money on Honey Caramels;180;9;27;1;1;0.14
1;food;Chocolates & Candy;Justin's - Dark Chocolate Peanut Butter Cups;210;14;21;1;4;0.12
1;food;Fruit & Nuts;Bare Fruit Medley;130;0;31;24;1;0
1;food;Fruit & Nuts;Banana;110;0;27;3;1;0
1;food;Fruit & Nuts;Orange;90;0;25;4;0;0
1;food;Fruit & Nuts;Seasonal Fruit Blend;90;0;24;4;1;0
1;food;Fruit & Nuts;Squirrel - Fruit & Nut;200;12;23;3;4;0.1
1;food;Fruit & Nuts;Squirrel - Classic Almonds;260;23;8;5;9;0.17
1;food;Fruit & Nuts;Squirrel - Creme Brelee Almonds;240;16;16;3;8;0.165
1;food;Fruit & Nuts;BarNana - Peanut Butter Chewy Banana Bites;180;8;25;2;3;0.11
1;food;Fruit & Nuts;Peter Rabbit Organics - Apple & Grape;100;0;26;1;9;0.01
1;food;Fruit & Nuts;Peter Rabbit Organics - Strawberry Banana;80;0;18;2;1;0
1;food;Fruit & Nuts;Strawberry Bear YoYos;60;0;13;2;0;0
1;food;Popcorn & Chips;Tortilla Chips;310;19;32;3;3;0.32
1;food;Popcorn & Chips;BBQ Chips;270;13;35;2;5;0.41
1;food;Popcorn & Chips;Butter Gourmet Popcorn;150;7;18;3;2;0.24
1;food;Popcorn & Chips;Hippie Snacks Sesame Snap Coconut Clusters;120;9;8;3;2;0.045
1;food;Popcorn & Chips;Hippeas - Far Out Fajita;100;4;14;3;3;0.115
1;food;Popcorn & Chips;Hippeas - White Cheddar;100;4;14;3;3;0.115
1;food;Popcorn & Chips;Kettle Corn;130;5;21;3;2;0.13
1;food;Popcorn & Chips;POP! - Sunflower Oil & Sea Salt;150;8;17;3;3;0.63
1;food;Popcorn & Chips;Salt & Vinegar Kettle Chips;270;13;34;5;2;0.64
1;food;Popcorn & Chips;Rhythm Super Foods Kale Chips - Sea Salt;130;10;8;4;5;0.25
1;food;Popcorn & Chips;Simply Salted Kettle Chips;280;14;34;2;5;0.24
1;food;Popcorn & Chips;Sweet Potato Kettle Chips;300;18;33;5;3;0.14
1;food;Meat & Cheese;Creminelli Sopressata Monterey Jack Snack Tray;220;17;0;0;15;0.72
1;food;Meat & Cheese;Country Archer – Hickory Smoked Turkey Jerky;70;1;5;0;10;0.33
1;food;Meat & Cheese;Country Archer – Original Beef Jerky;70;1;5;0;11;0.33
1;food;Meat & Cheese;Moon Cheese - Cheddar;70;5;1;0;5;0
1;food;Meat & Cheese;Babybel Mini Cheese Snack;70;6;0;0;5;0.16
1;food;Meat & Cheese;String Cheese;80;6;1;0;7;0.2
1;food;Snack Bars;Dark Chocolate Chip Peanut Butter Perfect Bar;320;19;25;3;15;0.11
1;food;Snack Bars;Perfect Bar - Peanut Butter;330;18;26;4;17;0.06
1;food;Snack Bars;Good Squared - Urban Trail;130;7;15;2;4;0
1;food;Snack Bars;KIND - Almond Coconut Cashew Chai;200;14;18;3;5;0.015
1;food;Snack Bars;KIND Peanut Butter Dark Chocolate;200;13;17;2.5;7;0.04
1;food;Snack Bars;That's It - Apple & Blueberry Bar;100;0;26;4;1;0.025
1;food;Snack Bars;That's It - Apple & Mango Bar;100;0;27;3;0;0.025
1;food;Snack Bars;This Bar Saves Lives – Dark Chocolate Cherry & Sea Salt Bar;160;6;26;6;3;0.07
1;food;Snack Bars;This Bar Saves Lives – Dark Chocolate Peanut Butter & Sea Salt Bar;190;10;22;6;4;0.11
