,"('Salads', 'Chiken Snacks', 'Cold Drinks')","('Salads', 'Chiken Snacks', 'Hot Drinks')","('Salads', 'Snacks', 'Cold Drinks')","('Salads', 'Snacks', 'Hot Drinks')","('Chiken Snacks', 'Snacks', 'Cold Drinks')","('Chiken Snacks', 'Snacks', 'Hot Drinks')"
0,1.2153838836667152,1.2119303328329802,1.2153838836667152,1.2119303328329802,1.2335550670760036,1.2308076544742954
1,1.155997738889002,1.1766584623659817,1.155997738889002,1.1766584623659817,1.1982229676854093,1.210240630395248
2,1.0983175808180714,1.1437158435699402,1.0983175808180714,1.1437158435699402,1.1616469458390384,1.1903094590410472
3,1.2674121407309813,1.2666120670756134,1.2674121407309813,1.2666120670756134,1.2627125978596567,1.262232091220665
4,1.4859932533843985,1.1247171719859077,1.4859932533843985,1.1247171719859077,1.3677971193641856,1.0321162082676716
5,1.485298229753595,1.0818007687819358,1.485298229753595,1.0818007687819358,1.3674611791346711,1.006867098855626
6,1.4842790695416097,1.002601819493962,1.4842790695416097,1.002601819493962,1.3669651670716576,0.9584537020988076
7,1.4856441547570542,0.9974114761985656,1.4856441547570542,0.9974114761985656,1.367628616010969,0.9622918207953556
8,1.2181252601484018,0.9416492649705837,1.2181252601484018,0.9416492649705837,1.2354137974145951,0.9270563299761592
9,1.1592830944694856,0.86779339796602,1.1592830944694856,0.86779339796602,1.2007205589685903,0.8780261594601305
10,1.1010341410980795,0.9974114761985656,1.1010341410980795,0.9974114761985656,1.164338521168009,0.9622918207953556
11,1.2691195147716885,0.9438323423569128,1.2691195147716885,0.9438323423569128,1.2637479884729093,0.9284638236667048
12,1.4668739873293528,0.86779339796602,1.4668739873293528,0.86779339796602,1.3554861646200511,0.8780261594601305
13,1.4583393804476568,1.0057171246462018,1.4583393804476568,1.0057171246462018,1.3498848041017857,0.9672128667613346
14,1.4498273412534834,0.9484009804469836,1.4498273412534834,0.9484009804469836,1.3443185280869103,0.9312467427571329
15,1.4754065318977765,0.8726527874067389,1.4754065318977765,0.8726527874067389,1.3611212546123028,0.8812501784343159
16,1.2191262611494027,1.0667635911856694,1.2191262611494027,1.0667635911856694,1.2359036189236374,1.0017100854116143
17,1.1553101900130336,1.0143846423424492,1.1553101900130336,1.0143846423424492,1.1981707417549998,0.969576632140152
