McD/SB,Kind,first,second,Energy,Fat,Carbohydrates,Fiber,Protein,Sodium,MEAN,STDEV
SB_light_breakfast,"('Soups', 'Cold Drinks')","['Chicken Quinoa Soup', 0.13793103448275862, 0.12027491408934708, 0.0791765637371338, 0.16666666666666666, 0.4980842911877395, 0.0]","['Cool Lime Starbucks Refreshers Beverage', 0.05172413793103448, 0.0, 0.08709422011084719, 0.0, 0.0, 0.02]",0.1896551724137931,0.12027491408934708,0.166270783847981,0.16666666666666666,0.4980842911877395,0.02,0.1934919713675879,0.1610664421581388
SB_light_breakfast,"('Soups', 'Cold Drinks')","['Chicken Quinoa Soup', 0.13793103448275862, 0.12027491408934708, 0.0791765637371338, 0.16666666666666666, 0.4980842911877395, 0.0]","['Strawberry Acai Starbucks Refreshers Beverage', 0.09195402298850575, 0.0, 0.14251781472684086, 0.16666666666666666, 0.0, 0.02]",0.22988505747126436,0.12027491408934708,0.22169437846397466,0.3333333333333333,0.4980842911877395,0.02,0.2372119957576098,0.16639920594855526
SB_light_breakfast,"('Soups', 'Cold Drinks')","['Chicken Quinoa Soup', 0.13793103448275862, 0.12027491408934708, 0.0791765637371338, 0.16666666666666666, 0.4980842911877395, 0.0]","['Vegan Superberry Aeae', 0.39080459770114945, 0.4123711340206186, 0.43547110055423593, 1.3333333333333333, 0.2298850574712644, 0.28]",0.5287356321839081,0.5326460481099656,0.5146476642913698,1.5,0.7279693486590039,0.28,0.6806664488740412,0.4258248195018395
SB_light_breakfast,"('Soups', 'Cold Drinks')","['Chicken Quinoa Soup', 0.13793103448275862, 0.12027491408934708, 0.0791765637371338, 0.16666666666666666, 0.4980842911877395, 0.0]","['Very Berry Hibiscus Starbucks Refreshers Beverage', 0.06896551724137931, 0.0, 0.11084718923198733, 0.16666666666666666, 0.0, 0.02]",0.20689655172413793,0.12027491408934708,0.19002375296912113,0.3333333333333333,0.4980842911877395,0.02,0.22810214055061315,0.1678075194164327
SB_light_breakfast,"('Soups', 'Cold Drinks')","['Chicken Quinoa Soup', 0.13793103448275862, 0.12027491408934708, 0.0791765637371338, 0.16666666666666666, 0.4980842911877395, 0.0]","['Evolution FreshOrganic Ginger Limeade', 0.12643678160919541, 0.0, 0.22169437846397466, 0.0, 0.0, 0.01]",0.26436781609195403,0.12027491408934708,0.30087094220110844,0.16666666666666666,0.4980842911877395,0.01,0.22671077170613596,0.1687950330226765
SB_light_breakfast,"('Soups', 'Cold Drinks')","['Chicken Quinoa Soup', 0.13793103448275862, 0.12027491408934708, 0.0791765637371338, 0.16666666666666666, 0.4980842911877395, 0.0]","['Iced Espresso Classics - Vanilla Latte', 0.14942528735632185, 0.0859106529209622, 0.166270783847981, 0.0, 0.19157088122605365, 0.13]",0.28735632183908044,0.20618556701030927,0.2454473475851148,0.16666666666666666,0.6896551724137931,0.13,0.28755184591916066,0.20470280615887612
SB_light_breakfast,"('Soups', 'Cold Drinks')","['Chicken Quinoa Soup', 0.13793103448275862, 0.12027491408934708, 0.0791765637371338, 0.16666666666666666, 0.4980842911877395, 0.0]","['Iced Espresso Classics - Caffe Mocha', 0.16091954022988506, 0.0859106529209622, 0.18210609659540777, 0.0, 0.19157088122605365, 0.18]",0.29885057471264365,0.20618556701030927,0.26128266033254155,0.16666666666666666,0.6896551724137931,0.18,0.3004401068559924,0.19713410177284205
SB_light_breakfast,"('Soups', 'Cold Drinks')","['Chicken Quinoa Soup', 0.13793103448275862, 0.12027491408934708, 0.0791765637371338, 0.16666666666666666, 0.4980842911877395, 0.0]","['Iced Espresso Classics - Caramel Macchiato', 0.14942528735632185, 0.0859106529209622, 0.166270783847981, 0.0, 0.19157088122605365, 0.13]",0.28735632183908044,0.20618556701030927,0.2454473475851148,0.16666666666666666,0.6896551724137931,0.13,0.28755184591916066,0.20470280615887612
SB_light_breakfast,"('Soups', 'Cold Drinks')","['Chicken Quinoa Soup', 0.13793103448275862, 0.12027491408934708, 0.0791765637371338, 0.16666666666666666, 0.4980842911877395, 0.0]","['Shaken Sweet Tea', 0.09195402298850575, 0.0, 0.15043547110055425, 0.0, 0.0, 0.02]",0.22988505747126436,0.12027491408934708,0.22961203483768805,0.16666666666666666,0.4980842911877395,0.02,0.21075382737545093,0.16111956152834603
SB_light_breakfast,"('Soups', 'Cold Drinks')","['Chicken Quinoa Soup', 0.13793103448275862, 0.12027491408934708, 0.0791765637371338, 0.16666666666666666, 0.4980842911877395, 0.0]","['Tazoп╠ Bottled Berry Blossom White', 0.06896551724137931, 0.0, 0.11876484560570072, 0.0, 0.0, 0.02]",0.20689655172413793,0.12027491408934708,0.19794140934283452,0.16666666666666666,0.4980842911877395,0.02,0.20164397216845428,0.16047244588508194
