,"('Hot Big Breakfast', 'Hot Drinks')","('Hot Breakfast', 'Hot Drinks')","('Burgers', 'Cold Drinks')"
0,2.056458333333333,1.5462861804338632,1.2309431524547805
1,2.033904761904762,1.5016396761133604,1.1843295573842665
2,2.0149122807017545,1.466447725648964,1.1420483522192737
3,2.1575787211436297,1.6227187037268578,1.274022222222222
4,1.4090361284939503,1.370052056513479,1.4735951475713485
5,1.341885086794964,1.3073418043328713,1.4725431803927245
6,1.2105844155844157,1.1854801645487127,1.4710048766290078
7,1.3248361284939507,1.1766962696181942,1.4730664666302964
8,1.2476752965851738,1.1036834521030905,1.2332723288320302
9,1.1169193101979988,0.9978203405017922,1.1832165311653118
10,1.3248361284939507,1.1766962696181942,1.1405625583566759
11,1.2476752965851738,1.1036834521030905,1.2754170079170082
12,1.1169193101979988,0.9978203405017922,1.4508589734762014
13,1.329991230534767,1.1870085782526094,1.4406753200410367
14,1.2519278218376992,1.1115784356942766,1.4303400264038562
15,1.118705128205128,1.0026459518613773,1.4608122650562934
16,1.366241577712166,1.2756985236985237,1.234779942279942
17,1.2793411423979133,1.2004264569842735,1.1826570530187346
18,1.1008942988448642,1.0511612448009506,1.1398551018203424
19,1.7163238095238096,1.5464351455756915,1.275929749546501
20,1.6653445365924633,1.4858866579747936,1.280714627431071
21,1.5571781794057338,1.387891239584788,1.1259187175077583
22,1.6296228194247997,1.3481380441264164,1.3070902463549523
23,1.5731652687169926,1.2887354384625982,1.232343304843305
24,1.4653675624760352,1.2055432152686787,1.190637973137973
25,1.6321238095238093,1.3530793586804069,1.1311467842750225
26,1.5731652687169926,1.2887354384625982,1.4735951475713485
27,1.4653675624760352,1.2055432152686787,1.4735951475713485
28,1.6336621534493876,1.3574897202989689,1.4730664666302964
29,1.5763960873025846,1.2958018582541055,1.4741293070713752
30,1.4705017088174983,1.2144022285957772,1.2549215601818615
31,1.6725160875160878,1.4514094794094794,1.202832525424488
32,1.6182034632034632,1.3893175500684758,1.1277776591791393
33,1.4483686086990282,1.2563899868247694,1.2601513738464578
34,1.1878782544011899,1.0626944444444444,1.2113547926309658
35,1.0803200350374262,0.9735209518613775,1.1406635397123204
36,0.9931917179206338,0.8984346376385212,1.265535005560013
37,1.347215096506453,1.1660169552669553,1.2113547926309658
38,1.2928765567765566,1.1106926690330947,1.1397209215904869
39,1.2068990474332262,1.039777069335893,1.270576830135039
40,1.2531503759398497,1.116897406559878,1.2198499894272712
41,1.1571524422973698,1.0323692692932682,1.145635198135198
42,1.0581014140897862,0.9506334050021132,1.3421943089430894
43,1.4277503759398495,1.2271246792871506,1.3033501590466696
44,1.3569300492610838,1.1612387669801465,1.2423754829645242
45,1.2895767075627174,1.1020510022190697,0.995494247899808
