McD_solid_b_0,McD_solid_b_1,McD_solid_b_2,McD_solid_b_3,McD_solid_b_4,McD_solid_b_5,McD_solid_b_6,McD_solid_b_7
2.1238097072419104,2.0564583333333335,1.5489416074121958,1.5462861804338632,2.513947663096397,2.4977078163771713,1.2309431524547803,1.2317856884583005
2.0868860674704663,2.033904761904762,1.4809223925801054,1.5016396761133604,2.4363880153738644,2.4460631094257854,1.1843295573842663,1.2020135564520145
2.05296918767507,2.0149122807017545,1.4232762287026874,1.466447725648964,2.3721832223455417,2.406038461538462,1.1420483522192737,1.1775473489617
2.1557036466358497,2.15757872114363,1.6162200577753918,1.6227187037268578,2.5931100562587908,2.6011399371069186,1.274022222222222,1.2780338499120885
2.286833333333333,1.4090361284939505,2.0011687882675604,1.370052056513479,3.0952884615384613,1.8079662271160988,1.4735951475713485,1.120291095501148
2.284101092896175,1.341885086794964,1.9994599707692688,1.3073418043328713,3.0937452516619177,1.7324204663966232,1.4725431803927245,1.08596462996463
2.2801666666666667,1.2105844155844157,1.9969783759309863,1.185480164548713,3.0915005827505824,1.595626116838488,1.4710048766290078,1.0192913194912872
2.2854559228650135,1.3248361284939507,2.0003087951475047,1.1766962696181942,3.0945120640229336,1.5745959388677622,1.4730664666302964,1.0032165682486451
2.1170593527613173,1.2476752965851738,1.552007882979026,1.1036834521030905,2.5194628599942974,1.4906979783583458,1.2332723288320302,0.9577616164832659
2.0753782454007075,1.1169193101979988,1.4781648034390726,0.9978203405017922,2.4354558997705236,1.3774715713839423,1.1832165311653118,0.8952597908700181
2.037589126559715,1.3248361284939507,1.4190414687159403,1.1766962696181942,2.3701414656771798,1.5745959388677622,1.140562558356676,1.0032165682486451
2.1508018168335186,1.2476752965851738,1.618473500806158,1.1036834521030905,2.597304993097101,1.4906979783583458,1.275417007917008,0.9577616164832659
2.141181818181818,1.1169193101979988,1.9592190789871853,0.9978203405017922,3.024424674163046,1.3774715713839423,1.4508589734762014,0.8952597908700181
2.087139657444005,1.329991230534767,1.9411780761932564,1.1870085782526094,2.995648012100259,1.5865561661404892,1.4406753200410367,1.0100482112506737
2.0396529680365294,1.2519278218376992,1.9234619965029534,1.1115784356942766,2.969065343258891,1.4996809086570657,1.4303400264038562,0.9632439821913505
2.2039166666666667,1.1187051282051281,1.9775310173697271,1.0026459518613773,3.055874542124542,1.3830950798924222,1.460812265056293,0.8988286614526195
2.1208693603813322,1.366241577712166,1.554426847662142,1.2756985236985237,2.521653600464576,1.6929544072948328,1.2347799422799421,1.065713222825899
2.0782259289957175,1.2793411423979133,1.4777137653319672,1.2004264569842735,2.4342604790419164,1.6026596974454115,1.1826570530187346,1.0216222400890593
2.0415202831993877,1.1008942988448642,1.4187793499166048,1.0511612448009506,2.3689970588235294,1.2853730929264908,1.1398551018203424,0.8998449924059682
2.1521131202691337,1.7163238095238096,1.619300630665546,1.5464351455756915,2.5980531600879733,1.9282313993594478,1.275929749546501,1.1699622660842048
1.7230304297152124,1.6653445365924633,1.5860114457185723,1.4858866579747936,2.549621054186196,1.8506914414414415,1.280714627431071,1.1346070291960701
1.6959938740764275,1.5571781794057338,1.4692336665218022,1.387891239584788,1.835939740761169,1.7375427453080576,1.1259187175077585,1.080688995215311
2.1763077747168653,1.6296228194247995,1.6712393162393162,1.3481380441264164,2.6604204109951106,1.6891487637569729,1.3070902463549523,1.0495883657909497
2.0068815963457145,1.5731652687169926,1.5443778677462887,1.2887354384625982,2.4841894213381552,1.6174100561600562,1.232343304843305,1.0096348585096138
