,"('Cold Sandwiches', 'Chocolates & Candy', 'Hot Drinks')","('Cold Sandwiches', 'Fruit & Nuts', 'Hot Drinks')","('Cold Sandwiches', 'Biscotti & Cookies', 'Hot Drinks')","('Cold Sandwiches', 'Yogurt & Custard', 'Hot Drinks')","('Warm Sandwiches', 'Biscotti & Cookies', 'Hot Drinks')","('Warm Sandwiches', 'Yogurt & Custard', 'Hot Drinks')"
0,1.0021276714385414,1.2444823721282532,1.0090093690756332,0.8217041677005299,1.031399321511572,0.8969782800398741
1,1.0009283331424292,1.2423084590847748,1.007711829925745,0.8207626092589715,1.0298198008144042,0.8958664021164021
2,1.0021276714385414,1.2444823721282532,1.0090093690756332,0.8217041677005299,1.031399321511572,0.8969782800398741
3,1.0021276714385414,1.2444823721282532,1.0090093690756332,0.8217041677005299,1.031399321511572,0.8969782800398741
4,1.0021276714385414,1.2444823721282532,1.0090093690756332,0.8217041677005299,1.031399321511572,0.8969782800398741
5,0.6909190732958522,0.8099311903244487,0.7018505316731073,0.6091335325932709,0.7103509207244458,0.637760663626181
6,0.6435348342088656,0.7011092370895313,0.6272472223301743,0.5750343750050385,0.6483470322031729,0.6077091757091909
7,0.8428975949822911,0.9445672049324286,0.8288332448965899,0.6912045493122257,0.8525709973166369,0.7428027009171968
8,0.7070877376107676,0.8364476204092686,0.7194539599578537,0.6229808149086794,0.7287320727280551,0.6542495970163299
9,0.897674684310081,1.0428854321296777,0.8909471204250857,0.7368586490357679,0.913834127979384,0.7953168049603843
10,0.8210080119296491,0.9162057933488904,0.8122553983816653,0.6723994253753003,0.8225766350637107,0.7072753840758491
11,0.8137178271101927,0.9167010107971724,0.8102962850797497,0.6659575815935149,0.8163457262689655,0.6971506809741812
12,0.8463217036094891,0.9483435889719706,0.8319903673835126,0.6941449389218989,0.8553056014222086,0.7454196118704591
13,0.8463217036094891,0.9483435889719706,0.8319903673835126,0.6941449389218989,0.8553056014222086,0.7454196118704591
14,0.9642094164306362,1.173936171636239,0.9684610266689176,0.7910519144202924,0.988581696081696,0.8577087238677484
15,0.7587101325613513,0.8144480224348162,0.744338612781176,0.619117515255162,0.7523983503246905,0.6446069299819487
16,0.841963081749558,0.95184545757848,0.8345157495371448,0.6901643753174556,0.8482266662728383,0.7310899532710281
17,0.841963081749558,0.95184545757848,0.8345157495371448,0.6901643753174556,0.8482266662728383,0.7310899532710281
18,1.3722799549082465,1.2519360355553746,0.99202068289451,1.0431348260551223,1.0717671812676377,1.0766823749189645
19,1.3697704360435872,1.2496033457226847,0.9907571764462704,1.0416864193025506,1.0702332766870808,1.0748984182260508
20,1.3722799549082465,1.2519360355553746,0.99202068289451,1.0431348260551223,1.0717671812676377,1.0766823749189645
21,1.3722799549082465,1.2519360355553746,0.99202068289451,1.0431348260551223,1.0717671812676377,1.0766823749189645
22,1.3722799549082465,1.2519360355553746,0.99202068289451,1.0431348260551223,1.0717671812676377,1.0766823749189645
