McD/SB,Kind,first,second,Energy,Fat,Carbohydrates,Fiber,Protein,Sodium,MEAN,STDEV
SB_light_dinner,"('Bakery', 'Cold Drinks')","['Chonga Bagel', 0.3448275862068966, 0.1718213058419244, 0.39588281868566905, 0.5, 0.4597701149425288, 1.06]","['Cool Lime Starbucks Refreshers Beverage', 0.05172413793103448, 0.0, 0.08709422011084719, 0.0, 0.0, 0.02]",0.39655172413793105,0.1718213058419244,0.4829770387965162,0.5,0.4597701149425288,1.08,0.5151866972864835,0.3017705125724445
SB_light_dinner,"('Bakery', 'Cold Drinks')","['Chonga Bagel', 0.3448275862068966, 0.1718213058419244, 0.39588281868566905, 0.5, 0.4597701149425288, 1.06]","['Strawberry Acai Starbucks Refreshers Beverage', 0.09195402298850575, 0.0, 0.14251781472684086, 0.16666666666666666, 0.0, 0.02]",0.4367816091954023,0.1718213058419244,0.5384006334125099,0.6666666666666666,0.4597701149425288,1.08,0.5589067216765052,0.3027040267849703
SB_light_dinner,"('Bakery', 'Cold Drinks')","['Chonga Bagel', 0.3448275862068966, 0.1718213058419244, 0.39588281868566905, 0.5, 0.4597701149425288, 1.06]","['Vegan Superberry Aeae', 0.39080459770114945, 0.4123711340206186, 0.43547110055423593, 1.3333333333333333, 0.2298850574712644, 0.28]",0.735632183908046,0.584192439862543,0.831353919239905,1.8333333333333333,0.6896551724137931,1.34,1.0023611747929368,0.48529427678141324
SB_light_dinner,"('Bakery', 'Cold Drinks')","['Chonga Bagel', 0.3448275862068966, 0.1718213058419244, 0.39588281868566905, 0.5, 0.4597701149425288, 1.06]","['Very Berry Hibiscus Starbucks Refreshers Beverage', 0.06896551724137931, 0.0, 0.11084718923198733, 0.16666666666666666, 0.0, 0.02]",0.4137931034482759,0.1718213058419244,0.5067300079176564,0.6666666666666666,0.4597701149425288,1.08,0.5497968664695086,0.3053182049231175
SB_light_dinner,"('Bakery', 'Cold Drinks')","['Chonga Bagel', 0.3448275862068966, 0.1718213058419244, 0.39588281868566905, 0.5, 0.4597701149425288, 1.06]","['Evolution FreshOrganic Ginger Limeade', 0.12643678160919541, 0.0, 0.22169437846397466, 0.0, 0.0, 0.01]",0.471264367816092,0.1718213058419244,0.6175771971496438,0.5,0.4597701149425288,1.07,0.5484054976250315,0.2948936349247473
SB_light_dinner,"('Bakery', 'Cold Drinks')","['Chonga Bagel', 0.3448275862068966, 0.1718213058419244, 0.39588281868566905, 0.5, 0.4597701149425288, 1.06]","['Iced Espresso Classics - Vanilla Latte', 0.14942528735632185, 0.0859106529209622, 0.166270783847981, 0.0, 0.19157088122605365, 0.13]",0.49425287356321845,0.25773195876288657,0.56215360253365,0.5,0.6513409961685824,1.19,0.6092465718380563,0.3130447635550393
SB_light_dinner,"('Bakery', 'Cold Drinks')","['Chonga Bagel', 0.3448275862068966, 0.1718213058419244, 0.39588281868566905, 0.5, 0.4597701149425288, 1.06]","['Iced Espresso Classics - Caffe Mocha', 0.16091954022988506, 0.0859106529209622, 0.18210609659540777, 0.0, 0.19157088122605365, 0.18]",0.5057471264367817,0.25773195876288657,0.5779889152810769,0.5,0.6513409961685824,1.24,0.622134832774888,0.3303972448533634
SB_light_dinner,"('Bakery', 'Cold Drinks')","['Chonga Bagel', 0.3448275862068966, 0.1718213058419244, 0.39588281868566905, 0.5, 0.4597701149425288, 1.06]","['Iced Espresso Classics - Caramel Macchiato', 0.14942528735632185, 0.0859106529209622, 0.166270783847981, 0.0, 0.19157088122605365, 0.13]",0.49425287356321845,0.25773195876288657,0.56215360253365,0.5,0.6513409961685824,1.19,0.6092465718380563,0.3130447635550393
SB_light_dinner,"('Bakery', 'Cold Drinks')","['Chonga Bagel', 0.3448275862068966, 0.1718213058419244, 0.39588281868566905, 0.5, 0.4597701149425288, 1.06]","['Shaken Sweet Tea', 0.09195402298850575, 0.0, 0.15043547110055425, 0.0, 0.0, 0.02]",0.4367816091954023,0.1718213058419244,0.5463182897862233,0.5,0.4597701149425288,1.08,0.5324485532943465,0.29851103704563564
SB_light_dinner,"('Bakery', 'Cold Drinks')","['Chonga Bagel', 0.3448275862068966, 0.1718213058419244, 0.39588281868566905, 0.5, 0.4597701149425288, 1.06]","['Tazoп╠ Bottled Berry Blossom White', 0.06896551724137931, 0.0, 0.11876484560570072, 0.0, 0.0, 0.02]",0.4137931034482759,0.1718213058419244,0.5146476642913698,0.5,0.4597701149425288,1.08,0.5233386980873498,0.3000325692530178
SB_light_dinner,"('Bakery', 'Cold Drinks')","['Chonga Bagel', 0.3448275862068966, 0.1718213058419244, 0.39588281868566905, 0.5, 0.4597701149425288, 1.06]","['Tazoп╠ Bottled Black Mango', 0.1724137931034483, 0.0, 0.3008709422011085, 0.0, 0.0, 0.03]",0.5172413793103449,0.1718213058419244,0.6967537608867775,0.5,0.4597701149425288,1.09,0.572597760163596,0.30489552238431633
SB_light_dinner,"('Bakery', 'Cold Drinks')","['Chonga Bagel', 0.3448275862068966, 0.1718213058419244, 0.39588281868566905, 0.5, 0.4597701149425288, 1.06]","['Tazoп╠ Bottled Black with Lemon', 0.16091954022988506, 0.0, 0.2771179730799683, 0.0, 0.0, 0.02]",0.5057471264367817,0.1718213058419244,0.6730007917656373,0.5,0.4597701149425288,1.08,0.5650565564978121,0.3000959410271111
SB_light_dinner,"('Bakery', 'Cold Drinks')","['Chonga Bagel', 0.3448275862068966, 0.1718213058419244, 0.39588281868566905, 0.5, 0.4597701149425288, 1.06]","['Tazoп╠ Bottled Brambleberry', 0.16091954022988506, 0.0, 0.2771179730799683, 0.0, 0.0, 0.03]",0.5057471264367817,0.1718213058419244,0.6730007917656373,0.5,0.4597701149425288,1.09,0.5667232231644787,0.30353585333799166
