McD/SB,Kind,first,second,Energy,Fat,Carbohydrates,Fiber,Protein,Sodium,MEAN,STDEV
McD_breakfast,"('Hot Big Breakfast', 'Cold Drinks')","['Hotcakes', 0.40229885057471265, 0.30927835051546393, 0.4750593824228029, 0.5, 0.30651340996168586, 1.18]","['Coca-Cola Classic (Small)', 0.16091954022988506, 0.0, 0.3087885985748219, 0.0, 0.0, 0.0]",0.5632183908045977,0.30927835051546393,0.7838479809976248,0.5,0.30651340996168586,1.18,0.607143022046562,0.33223494287009825
McD_breakfast,"('Hot Big Breakfast', 'Cold Drinks')","['Hotcakes', 0.40229885057471265, 0.30927835051546393, 0.4750593824228029, 0.5, 0.30651340996168586, 1.18]","['Coca-Cola Classic (Medium)', 0.22988505747126436, 0.0, 0.43547110055423593, 0.0, 0.0, 0.01]",0.632183908045977,0.30927835051546393,0.9105304829770389,0.5,0.30651340996168586,1.19,0.6414176919166942,0.3509774606963116
McD_breakfast,"('Hot Big Breakfast', 'Cold Drinks')","['Hotcakes', 0.40229885057471265, 0.30927835051546393, 0.4750593824228029, 0.5, 0.30651340996168586, 1.18]","['Coca-Cola Classic (Large)', 0.3218390804597701, 0.0, 0.601741884402217, 0.0, 0.0, 0.01]",0.7241379310344828,0.30927835051546393,1.07680126682502,0.5,0.30651340996168586,1.19,0.6844551597227754,0.3817609424642588
McD_breakfast,"('Hot Big Breakfast', 'Cold Drinks')","['Hotcakes', 0.40229885057471265, 0.30927835051546393, 0.4750593824228029, 0.5, 0.30651340996168586, 1.18]","['Coca-Cola Classic (Child)', 0.11494252873563218, 0.0, 0.22169437846397466, 0.0, 0.0, 0.0]",0.5172413793103449,0.30927835051546393,0.6967537608867775,0.5,0.30651340996168586,1.18,0.5849644834457121,0.3261617190925971
McD_breakfast,"('Hot Big Breakfast', 'Cold Drinks')","['Hotcakes', 0.40229885057471265, 0.30927835051546393, 0.4750593824228029, 0.5, 0.30651340996168586, 1.18]","['Diet Coke (Small)', 0.0, 0.0, 0.0, 0.0, 0.0, 0.02]",0.40229885057471265,0.30927835051546393,0.4750593824228029,0.5,0.30651340996168586,1.2,0.5321916655791109,0.33697523265497337
McD_breakfast,"('Hot Big Breakfast', 'Cold Drinks')","['Hotcakes', 0.40229885057471265, 0.30927835051546393, 0.4750593824228029, 0.5, 0.30651340996168586, 1.18]","['Diet Coke (Medium)', 0.0, 0.0, 0.0, 0.0, 0.0, 0.04]",0.40229885057471265,0.30927835051546393,0.4750593824228029,0.5,0.30651340996168586,1.22,0.5355249989124443,0.3449078728659397
McD_breakfast,"('Hot Big Breakfast', 'Cold Drinks')","['Hotcakes', 0.40229885057471265, 0.30927835051546393, 0.4750593824228029, 0.5, 0.30651340996168586, 1.18]","['Diet Coke (Large)', 0.0, 0.0, 0.0, 0.0, 0.0, 0.07]",0.40229885057471265,0.30927835051546393,0.4750593824228029,0.5,0.30651340996168586,1.25,0.5405249989124442,0.3568264855331761
McD_breakfast,"('Hot Big Breakfast', 'Cold Drinks')","['Hotcakes', 0.40229885057471265, 0.30927835051546393, 0.4750593824228029, 0.5, 0.30651340996168586, 1.18]","['Diet Coke (Child)', 0.0, 0.0, 0.0, 0.0, 0.0, 0.03]",0.40229885057471265,0.30927835051546393,0.4750593824228029,0.5,0.30651340996168586,1.21,0.5338583322457776,0.34094018159674827
McD_breakfast,"('Hot Big Breakfast', 'Cold Drinks')","['Hotcakes', 0.40229885057471265, 0.30927835051546393, 0.4750593824228029, 0.5, 0.30651340996168586, 1.18]","['Dr Pepper (Small)', 0.16091954022988506, 0.0, 0.2929532858273951, 0.0, 0.0, 0.09]",0.5632183908045977,0.30927835051546393,0.768012668250198,0.5,0.30651340996168586,1.27,0.6195038032553243,0.3624506061328487
McD_breakfast,"('Hot Big Breakfast', 'Cold Drinks')","['Hotcakes', 0.40229885057471265, 0.30927835051546393, 0.4750593824228029, 0.5, 0.30651340996168586, 1.18]","['Dr Pepper (Medium)', 0.21839080459770116, 0.0, 0.4196357878068092, 0.0, 0.0, 0.13]",0.6206896551724138,0.30927835051546393,0.8946951702296121,0.5,0.30651340996168586,1.31,0.6568627643131959,0.3879759058001185
McD_breakfast,"('Hot Big Breakfast', 'Cold Drinks')","['Hotcakes', 0.40229885057471265, 0.30927835051546393, 0.4750593824228029, 0.5, 0.30651340996168586, 1.18]","['Dr Pepper (Large)', 0.3103448275862069, 0.0, 0.5700712589073634, 0.0, 0.0, 0.18]",0.7126436781609196,0.30927835051546393,1.0451306413301662,0.5,0.30651340996168586,1.3599999999999999,0.7055943466613726,0.42477814110683704
McD_breakfast,"('Hot Big Breakfast', 'Cold Drinks')","['Hotcakes', 0.40229885057471265, 0.30927835051546393, 0.4750593824228029, 0.5, 0.30651340996168586, 1.18]","['Dr Pepper (Child)', 0.11494252873563218, 0.0, 0.2137767220902613, 0.0, 0.0, 0.06]",0.5172413793103449,0.30927835051546393,0.6888361045130642,0.5,0.30651340996168586,1.24,0.5936448740500931,0.34777923256566146
McD_breakfast,"('Hot Big Breakfast', 'Cold Drinks')","['Hotcakes', 0.40229885057471265, 0.30927835051546393, 0.4750593824228029, 0.5, 0.30651340996168586, 1.18]","['Diet Dr Pepper (Small)', 0.0, 0.0, 0.0, 0.0, 0.07662835249042146, 0.14]",0.40229885057471265,0.30927835051546393,0.4750593824228029,0.5,0.3831417624521073,1.3199999999999998,0.5649630576608478,0.37610555728549827
