,"('Meat & Cheese', 'Cold Drinks')","('Meat & Cheese', 'Hot Drinks')","('Snack Bars', 'Cold Drinks')","('Snack Bars', 'Hot Drinks')","('Fruit & Nuts', 'Cold Drinks')","('Fruit & Nuts', 'Hot Drinks')","('Popcorn & Chips', 'Cold Drinks')","('Popcorn & Chips', 'Hot Drinks')"
24,3.9857839756592286,1.4227473839518785,2.6893355523195344,1.372809279921956,26.341714285714282,2.0226018474279344,3.3855080971659914,1.1339443546649428
25,2.3141663286004057,2.20695652173913,2.52530957829356,1.7029159420289854,26.19409090909091,2.695293236175589,3.2695183012476248,1.8211915708812259
26,3.9857839756592286,1.923835954363244,2.6893355523195344,1.419316742081448,26.341714285714282,2.37033910119731,3.3855080971659914,1.2770129870129872
27,1.88174183006536,3.1724404924760603,2.478916902646226,2.0630822966507174,6.115294117647059,4.090202702702703,3.2098872180451123,2.077416642598119
28,2.5132418300653594,1.8283333333333327,2.5949066985645937,1.6164221701795474,6.221428571428571,2.7410952380952383,3.2962625979843225,1.7784285714285717
29,1.8897072163505289,1.8496666666666663,2.0522566806297844,1.5878463203463202,5.662711538461538,2.7998275058275057,2.05954170774377,1.7479372180451125
30,1.7811791981502123,2.221354359925788,1.9579476744186048,1.7286787878787881,5.214311111111111,2.7655194805194805,2.0263728407157218,1.8412751977984176
31,1.8897072163505289,2.221354359925788,2.0522566806297844,1.7286787878787881,5.662711538461538,2.7655194805194805,2.05954170774377,1.8412751977984176
32,1.764797385620915,6.107808731808733,2.449175929333824,2.682154499151104,6.087777777777778,11.201999999999998,3.186951382694023,2.521936507936508
33,1.764797385620915,1.3134558378705383,2.449175929333824,1.3221569207229786,6.087777777777778,1.9424608724608723,3.186951382694023,1.558128450496871
34,1.932819420100857,2.0729368803239767,1.5398022173852166,1.716431623931624,4.107136645962733,3.009344514325647,1.3561546382443839,1.838754408958175
35,1.9095931911226027,2.0729368803239767,1.522758733477453,1.716431623931624,4.0640031225605,3.009344514325647,1.3476541961577353,1.838754408958175
36,2.7505687531422818,11.601117647058823,2.606393540669856,14.159428571428574,3.6415,13.9625,2.885149122807017,4.774761904761903
37,3.1038554664289952,11.601117647058823,2.6433233652312595,14.159428571428574,3.674736842105263,13.9625,2.9112576499387997,4.774761904761903
38,13.437491830065358,11.601117647058823,2.877212254120149,14.159428571428574,3.8810344827586207,13.9625,3.0667569659442715,4.774761904761903
39,4.391316526610645,11.601117647058823,2.51703532728881,14.159428571428574,6.216274509803923,13.9625,2.6837223828802768,4.774761904761903
40,1.688299723816595,11.601117647058823,1.6369451871657752,14.159428571428574,3.3639445887445887,13.9625,2.2334825174825177,4.774761904761903
41,0.8264073629451779,1.780650863422292,2.8647157894736837,1.8861693548387093,13.222222222222225,2.1254413145539908,3.5341982521602504,1.500043956043956
42,0.8273392425463335,1.4124311784182817,2.8980491228070173,1.964607425183512,16.555555555555557,1.994370122630992,3.5387210925039865,1.3818633010182304
43,2.186078431372549,2.1975,2.3151021877539266,2.6539495798319326,6.034666666666666,2.679962868868478,2.5412300751879697,2.0903194274413783
44,5.777930589680591,1.9143794326241133,2.5799807692307697,2.052502432551968,9.963375,2.347370129870129,2.9243203497615267,1.5915864661654138
45,1.4345606229143493,3.1571773345813234,1.9348739701159052,3.4996464646464647,4.443699059561129,4.036666666666667,2.1253609831029183,2.5872085561497324
46,2.5178073804660466,1.8159047619047617,2.347483048433048,2.560438095238095,8.59609756097561,2.700776285861032,2.7767855072463767,1.983728315709448
47,1.317665598290598,1.8383679653679652,1.5891759571342152,2.521631701631702,2.4318962769810226,2.766354166666667,1.5505446428571428,1.941158267020336
48,1.9528030303030304,2.2110381543921918,1.7749917180149737,2.709905462184873,2.8193003663003657,2.745408893432149,1.6853794871794872,2.1212741312741312
49,2.5604915982765744,2.2110381543921918,1.9837973827569229,2.709905462184873,3.774398550724638,2.745408893432149,1.9134234198181372,2.1212741312741312
50,1.5956669350509929,6.079127413127412,1.5358269320843092,5.836214285714287,3.175492063492064,10.79603448275862,1.4546015986882557,3.6269037267080737
51,1.2489452314383347,1.3047558378705384,1.624680893300248,2.001470588235294,2.7673281926406927,1.921809523809524,1.6042375293531628,1.6136913145539904
52,1.3800561473892399,2.0605083088954053,1.8062566768027164,2.7487320517553067,3.9742299396031058,2.9710554260554263,1.7987346064098289,2.0984894091415827
53,1.278667672197084,2.0605083088954053,1.5815895530536093,2.7487320517553067,2.45132058287796,2.9710554260554263,1.5634415584415584,2.0984894091415827
54,1.4783668039277793,37.294000000000004,1.8257794089968,7.089047619047619,3.9506578947368416,3.936351778656127,1.8205580711948173,7.762348484848485
55,1.0889369184007482,37.294000000000004,1.5085222222222219,7.089047619047619,2.46971259537049,3.936351778656127,1.5329192839096042,7.762348484848485
